timestamp,value
1500155458.579,999394
1500155458.714,999416
1500155458.849,999391
1500155458.988,999408
1500155459.123,999386
1500155459.259,999401
1500155459.394,999401
1500155459.529,999404
1500155459.664,999405
1500155459.799,999407
1500155459.934,999405
1500155460.073,999407
1500155460.209,999399
1500155460.344,999407
1500155460.479,999410
1500155460.614,999392
1500155460.749,999408
1500155460.885,999406
1500155461.020,999415
1500155461.159,999396
1500155461.294,999405
1500155461.429,999388
1500155461.564,999405
1500155461.700,999406
1500155461.835,999406
1500155461.970,999389
1500155462.109,999404
1500155462.244,999402
1500155462.380,999409
1500155462.515,999397
1500155462.650,999400
1500155462.785,999404
1500155462.920,999391
1500155463.055,999415
1500155463.194,999394
1500155463.330,999412
1500155463.465,999398
1500155463.600,999404
1500155463.735,999393
1500155463.870,999410
1500155464.006,999399
1500155464.141,999399
1500155464.280,999410
1500155464.415,999408
1500155464.550,999408
1500155464.685,999411
1500155464.821,999401
1500155464.956,999390
1500155465.091,999398
1500155465.230,999400
1500155465.365,999407
1500155465.501,999397
1500155465.636,999393
1500155465.771,999403
1500155465.906,999413
1500155466.041,999394
1500155466.176,999412
1500155466.315,999407
1500155466.451,999401
1500155466.586,999405
1500155466.721,999392
1500155466.856,999407
1500155466.991,999409
1500155467.127,999396
1500155467.265,999406
1500155467.401,999409
1500155467.536,999417
1500155467.671,999396
1500155467.806,999412
1500155467.941,999410
1500155468.076,999399
1500155468.212,999413
1500155468.351,999405
1500155468.486,999416
1500155468.621,999411
1500155468.756,999406
1500155468.892,999409
1500155469.027,999401
1500155469.162,999415
1500155469.301,999405
1500155469.436,999399
1500155469.572,999407
1500155469.707,999406
1500155469.842,999400
1500155469.977,999406
1500155470.113,999402
1500155470.248,999393
1500155470.387,999409
1500155470.522,999405
1500155470.657,999402
1500155470.792,999407
1500155470.928,999408
1500155471.063,999408
1500155471.198,999398
1500155471.333,999409
1500155471.472,999400
1500155471.607,999407
1500155471.743,999405
1500155471.878,999387
1500155472.013,999392
1500155472.148,999416
1500155472.283,999404
1500155472.422,999399
1500155472.558,999406
1500155472.693,999400
1500155472.828,999410
1500155472.963,999405
1500155473.098,999393
1500155473.233,999402
1500155473.369,999413
1500155473.508,999415
1500155473.643,999415
1500155473.778,999398
1500155473.913,999408
1500155474.049,999409
1500155474.184,999412
1500155474.319,999406
1500155474.454,999399
1500155474.593,999420
1500155474.728,999408
1500155474.864,999415
1500155474.999,999416
1500155475.134,999409
1500155475.269,999403
1500155475.404,999401
1500155475.539,999412
1500155475.678,999405
1500155475.814,999404
1500155475.949,999400
1500155476.084,999399
1500155476.219,999397
1500155476.354,999399
1500155476.490,999391
1500155476.629,999394
1500155476.764,999402
1500155476.899,999398
1500155477.034,999397
1500155477.170,999397
1500155477.305,999405
1500155477.440,999395
1500155477.575,999396
1500155477.714,999410
1500155477.849,999417
1500155477.985,999393
1500155478.120,999406
1500155478.255,999405
1500155478.390,999410
1500155478.525,999399
1500155478.664,999399
1500155478.800,999401
1500155478.935,999406
1500155479.070,999393
1500155479.205,999392
1500155479.340,999401
1500155479.475,999396
1500155479.610,999394
1500155479.749,999412
1500155479.885,999399
1500155480.020,999407
1500155480.155,999407
1500155480.290,999396
1500155480.425,999407
1500155480.560,999403
1500155480.696,999402
1500155480.835,999393
1500155480.970,999403
1500155481.105,999404
1500155481.240,999406
1500155481.376,999400
1500155481.513,999408
1500155481.646,999412
1500155481.785,999407
1500155481.921,999406
1500155482.056,999396
1500155482.191,999403
1500155482.326,999405
1500155482.461,999398
1500155482.597,999400
1500155482.732,999386
1500155482.871,999400
1500155483.006,999400
1500155483.141,999406
1500155483.276,999399
1500155483.411,999398
1500155483.547,999403
1500155483.682,999396
1500155483.817,999406
1500155483.956,999401
1500155484.091,999416
1500155484.227,999411
1500155484.362,999400
1500155484.497,999404
1500155484.632,999406
1500155484.767,999407
1500155484.906,999398
1500155485.042,999408
1500155485.177,999392
1500155485.312,999409
1500155485.447,999415
1500155485.582,999401
1500155485.718,999400
1500155485.853,999408
1500155485.992,999400
1500155486.127,999405
1500155486.262,999395
1500155486.398,999398
1500155486.533,999404
1500155486.668,999399
1500155486.803,999398
1500155486.938,999404
1500155487.077,999409
1500155487.213,999395
1500155487.348,999417
1500155487.483,999407
1500155487.618,999403
1500155487.753,999403
1500155487.888,999403
1500155488.027,999397
1500155488.163,999404
1500155488.298,999415
1500155488.433,999406
1500155488.568,999416
1500155488.703,999410
1500155488.839,999396
1500155488.974,999402
1500155489.113,999389
1500155489.248,999409
1500155489.383,999399
1500155489.518,999406
1500155489.653,999407
1500155489.789,999407
1500155489.924,999408
1500155490.063,999411
1500155490.198,999399
1500155490.334,999404
1500155490.469,999412
1500155490.604,999398
1500155490.739,999393
1500155490.874,999387
1500155491.009,999412
1500155491.148,999402
1500155491.284,999415
1500155491.419,999406
1500155491.554,999411
1500155491.689,999396
1500155491.824,999408
1500155491.959,999412
1500155492.094,999405
1500155492.234,999411
1500155492.369,999410
1500155492.504,999411
1500155492.639,999397
1500155492.774,999403
1500155492.909,999406
1500155493.045,999404
1500155493.184,999407
1500155493.319,999396
1500155493.454,999405
1500155493.589,999405
1500155493.725,999405
1500155493.860,999417
1500155493.995,999399
1500155494.130,999408
1500155494.269,999395
1500155494.405,999399
1500155494.540,999410
1500155494.675,999392
1500155494.810,999403
1500155494.945,999407
1500155495.081,999405
1500155495.220,999407
1500155495.355,999403
1500155495.490,999417
1500155495.625,999397
1500155495.760,999413
1500155495.896,999406
1500155496.031,999389
1500155496.166,999398
1500155496.305,999402
1500155496.440,999407
1500155496.576,999409
1500155496.711,999397
1500155496.846,999401
1500155496.981,999409
1500155497.116,999406
1500155497.251,999402
1500155497.391,999394
1500155497.526,999387
1500155497.661,999399
1500155497.796,999403
1500155497.931,999412
1500155498.067,999396
1500155498.202,999409
1500155498.341,999410
1500155498.476,999401
1500155498.611,999407
1500155498.746,999401
1500155498.882,999407
1500155499.017,999400
1500155499.152,999402
1500155499.287,999400
1500155499.426,999420
1500155499.561,999394
1500155499.696,999400
1500155499.831,999389
1500155499.967,999416
1500155500.102,999398
1500155500.237,999395
1500155500.372,999405
1500155500.512,999397
1500155500.647,999403
1500155500.782,999380
1500155500.917,999403
1500155501.052,999403
1500155501.187,999403
1500155501.323,999391
1500155501.462,999396
1500155501.597,999398
1500155501.732,999399
1500155501.867,999405
1500155502.003,999396
1500155502.138,999410
1500155502.273,999404
1500155502.408,999412
1500155502.547,999395
1500155502.682,999400
1500155502.818,999411
1500155502.953,999402
1500155503.088,999403
1500155503.223,999397
1500155503.358,999407
1500155503.493,999411
1500155503.632,999393
1500155503.767,999416
1500155503.903,999400
1500155504.038,999404
1500155504.173,999397
1500155504.308,999415
1500155504.443,999402
1500155504.582,999400
1500155504.718,999406
1500155504.853,999408
1500155504.988,999396
1500155505.123,999395
1500155505.258,999407
1500155505.393,999380
1500155505.529,999414
1500155505.668,999395
1500155505.803,999410
1500155505.939,999397
1500155506.074,999416
1500155506.209,999408
1500155506.344,999388
1500155506.479,999408
1500155506.618,999409
1500155506.754,999418
1500155506.889,999403
1500155507.024,999409
1500155507.159,999408
1500155507.294,999405
1500155507.430,999395
1500155507.565,999400
1500155507.704,999409
1500155507.839,999384
1500155507.974,999395
1500155508.109,999404
1500155508.244,999395
1500155508.380,999408
1500155508.515,999397
1500155508.650,999397
1500155508.789,999406
1500155508.924,999401
1500155509.060,999396
1500155509.195,999394
1500155509.330,999396
1500155509.465,999392
1500155509.600,999417
1500155509.739,999406
1500155509.874,999407
1500155510.010,999394
1500155510.145,999395
1500155510.280,999385
1500155510.415,999388
1500155510.551,999389
1500155510.686,999395
1500155510.825,999403
1500155510.961,999404
1500155511.095,999404
1500155511.230,999406
1500155511.366,999396
1500155511.501,999412
1500155511.636,999404
1500155511.771,999399
1500155511.910,999404
1500155512.045,999410
1500155512.181,999413
1500155512.316,999406
1500155512.451,999412
1500155512.586,999410
1500155512.721,999400
1500155512.860,999399
1500155512.996,999406
1500155513.131,999403
1500155513.266,999406
1500155513.401,999399
1500155513.536,999405
1500155513.672,999395
1500155513.807,999401
1500155513.946,999403
1500155514.081,999405
1500155514.216,999407
1500155514.351,999385
1500155514.486,999392
1500155514.622,999386
1500155514.757,999404
1500155514.896,999406
1500155515.031,999403
1500155515.166,999412
1500155515.302,999406
1500155515.437,999391
1500155515.572,999404
1500155515.707,999396
1500155515.842,999400
1500155515.981,999406
1500155516.116,999396
1500155516.252,999389
1500155516.387,999396
1500155516.522,999399
1500155516.657,999396
1500155516.792,999414
1500155516.927,999388
1500155517.067,999410
1500155517.202,999402
1500155517.337,999383
1500155517.472,999399
1500155517.607,999397
1500155517.743,999390
1500155517.878,999397
1500155518.017,999398
1500155518.152,999406
1500155518.288,999405
1500155518.423,999400
1500155518.558,999381
1500155518.693,999393
1500155518.828,999396
1500155518.963,999390
1500155519.102,999399
1500155519.238,999391
1500155519.373,999413
1500155519.508,999393
1500155519.643,999403
1500155519.778,999412
1500155519.913,999412
1500155520.049,999399
1500155520.188,999403
1500155520.323,999397
1500155520.458,999395
1500155520.593,999392
1500155520.729,999395
1500155520.864,999408
1500155520.999,999394
1500155521.138,999410
1500155521.273,999388
1500155521.409,999401
1500155521.544,999404
1500155521.679,999406
1500155521.814,999405
1500155521.949,999405
1500155522.084,999398
1500155522.223,999394
1500155522.359,999402
1500155522.494,999396
1500155522.629,999404
1500155522.764,999406
1500155522.899,999398
1500155523.035,999399
1500155523.170,999397
1500155523.309,999398
1500155523.444,999401
1500155523.579,999400
1500155523.715,999409
1500155523.850,999409
1500155523.985,999398
1500155524.120,999409
1500155524.259,999391
1500155524.394,999391
1500155524.530,999400
1500155524.665,999398
1500155524.800,999403
1500155524.935,999392
1500155525.070,999393
1500155525.205,999415
1500155525.344,999408
