timestamp,ltz1000-p17-hammond
1514575349.922,7071444.7
1514575353.274,7071443.9
1514575356.627,7071444.7
1514575359.978,7071443.4
1514575363.331,7071446.2
1514575366.683,7071445.4
1514575370.035,7071445.9
1514575373.387,7071445.7
1514575376.739,7071445.9
1514575380.092,7071445.7
1514575383.443,7071445.7
1514575386.796,7071446.7
1514575390.148,7071448.2
1514575393.500,7071444.9
1514575396.852,7071446.7
1514575400.204,7071445.4
1514575403.556,7071445.7
1514575406.909,7071446.4
1514575410.260,7071447.2
1514575413.613,7071446.9
1514575416.965,7071446.4
1514575420.317,7071445.4
1514575423.669,7071445.7
1514575427.021,7071445.4
1514575430.373,7071445.7
1514575433.725,7071444.1
1514575437.077,7071442.4
1514575440.430,7071442.4
1514575443.782,7071442.4
1514575447.134,7071442.9
1514575450.486,7071444.1
1514575453.838,7071443.4
1514575457.191,7071443.4
1514575460.543,7071443.4
1514575463.894,7071443.4
1514575467.246,7071442.9
1514575470.599,7071443.1
1514575473.951,7071442.9
1514575477.303,7071444.7
1514575480.655,7071443.6
1514575484.007,7071444.9
1514575487.359,7071445.4
1514575490.711,7071443.6
1514575494.063,7071444.9
1514575497.416,7071443.9
1514575500.767,7071444.1
1514575504.120,7071443.6
1514575507.472,7071443.1
1514575510.824,7071443.6
1514575514.177,7071442.6
1514575517.528,7071443.3
1514575520.880,7071443.4
1514575524.233,7071443.6
1514575527.584,7071443.6
1514575530.937,7071442.6
1514575534.289,7071445.2
1514575537.641,7071445.4
1514575540.993,7071443.4
1514575544.346,7071443.6
1514575547.697,7071442.4
1514575551.049,7071442.4
1514575554.402,7071443.4
1514575557.754,7071442.9
1514575561.106,7071441.9
1514575564.458,7071443.1
1514575567.810,7071443.6
1514575571.162,7071442.9
1514575574.514,7071443.9
1514575577.866,7071441.6
1514575581.219,7071443.1
1514575584.571,7071444.4
1514575587.923,7071443.4
1514575591.275,7071443.9
1514575594.627,7071442.4
1514575597.980,7071442.1
1514575601.331,7071442.1
