timestamp,ltz1000-p17-cotton-rounds
1514635805.819,7071495.9
1514635809.170,7071495.4
1514635812.523,7071493.6
1514635815.875,7071494.6
1514635819.227,7071493.8
1514635822.579,7071495.9
1514635825.932,7071495.1
1514635829.283,7071494.1
1514635832.636,7071495.1
1514635835.987,7071495.9
1514635839.339,7071494.9
1514635842.692,7071495.1
1514635846.043,7071494.1
1514635849.396,7071494.6
1514635852.748,7071492.1
1514635856.100,7071493.6
1514635859.452,7071494.4
1514635862.805,7071494.9
1514635866.156,7071494.1
1514635869.508,7071493.8
1514635872.861,7071495.1
1514635876.212,7071494.9
1514635879.565,7071494.4
1514635882.916,7071495.4
1514635886.269,7071495.9
1514635889.621,7071494.4
1514635892.973,7071495.9
1514635896.325,7071493.6
1514635899.678,7071494.4
1514635903.029,7071496.1
1514635906.381,7071494.9
1514635909.734,7071495.1
1514635913.085,7071494.9
1514635916.438,7071495.4
1514635919.790,7071493.6
1514635923.142,7071494.1
1514635926.494,7071493.8
1514635929.846,7071494.9
1514635933.198,7071494.4
1514635936.550,7071493.3
1514635939.903,7071495.4
1514635943.254,7071494.9
1514635946.607,7071494.1
1514635949.958,7071493.8
1514635953.311,7071494.9
1514635956.663,7071494.6
1514635960.015,7071495.6
1514635963.367,7071494.4
1514635966.719,7071494.9
1514635970.071,7071494.4
1514635973.423,7071493.8
1514635976.775,7071493.3
1514635980.128,7071492.6
1514635983.479,7071492.1
1514635986.832,7071493.1
1514635990.184,7071492.1
1514635993.536,7071492.3
1514635996.888,7071493.8
1514636000.240,7071493.3
1514636003.592,7071492.6
1514636006.944,7071493.1
1514636010.297,7071493.6
1514636013.648,7071492.3
1514636017.001,7071493.3
1514636020.352,7071492.6
1514636023.705,7071492.3
1514636027.057,7071491.8
1514636030.409,7071491.1
1514636033.761,7071492.3
1514636037.113,7071492.6
1514636040.465,7071493.8
1514636043.817,7071493.8
1514636047.169,7071494.4
1514636050.522,7071493.8
1514636053.874,7071494.4
1514636057.226,7071494.6
1514636060.579,7071494.6
1514636063.930,7071495.4
1514636067.282,7071494.4
1514636070.634,7071494.9
1514636073.986,7071494.6
1514636077.338,7071494.9
1514636080.690,7071494.1
1514636084.043,7071493.8
1514636087.394,7071493.6
1514636090.747,7071493.6
1514636094.099,7071495.1
1514636097.451,7071494.9
1514636100.803,7071494.4
1514636104.155,7071494.9
1514636107.507,7071494.6
1514636110.860,7071494.1
1514636114.211,7071494.4
1514636117.564,7071495.6
1514636120.915,7071495.1
1514636124.268,7071494.6
1514636127.620,7071494.6
1514636130.972,7071494.9
1514636134.324,7071494.1
1514636137.676,7071493.8
1514636141.028,7071495.6
1514636144.380,7071494.9
1514636147.733,7071494.4
1514636151.084,7071495.1
1514636154.436,7071494.6
1514636157.789,7071494.6
1514636161.141,7071494.1
1514636164.493,7071496.4
1514636167.845,7071494.9
1514636171.197,7071495.1
1514636174.549,7071494.9
1514636177.901,7071495.4
1514636181.253,7071494.1
1514636184.606,7071494.9
1514636187.958,7071494.6
1514636191.309,7071494.9
1514636194.662,7071495.6
1514636198.014,7071494.9
1514636201.366,7071494.6
1514636204.718,7071494.9
1514636208.070,7071494.4
1514636211.422,7071495.6
1514636214.775,7071495.1
1514636218.126,7071495.4
1514636221.479,7071496.6
1514636224.830,7071494.9
1514636228.183,7071494.9
1514636231.535,7071494.6
1514636234.887,7071495.1
1514636238.239,7071493.1
1514636241.591,7071491.8
1514636244.943,7071491.1
1514636248.296,7071491.6
1514636251.647,7071492.1
1514636254.999,7071491.6
1514636258.352,7071491.8
1514636261.704,7071491.3
1514636265.056,7071489.5
1514636268.408,7071491.1
1514636271.760,7071491.1
1514636275.112,7071493.1
1514636278.464,7071494.0
1514636281.816,7071494.1
1514636285.168,7071495.6
1514636288.521,7071494.6
1514636291.873,7071494.4
1514636295.224,7071493.8
1514636298.577,7071493.8
1514636301.929,7071494.6
1514636305.281,7071493.8
1514636308.633,7071495.1
1514636311.985,7071495.1
1514636315.337,7071495.4
1514636318.690,7071494.6
1514636322.042,7071494.4
1514636325.393,7071495.6
1514636328.746,7071495.1
1514636332.098,7071494.9
1514636335.450,7071493.6
1514636338.802,7071493.8
1514636342.154,7071494.6
1514636345.506,7071493.1
1514636348.859,7071493.3
1514636352.210,7071493.6
1514636355.563,7071493.8
1514636358.914,7071494.4
1514636362.267,7071493.6
1514636365.619,7071493.1
1514636368.971,7071492.8
1514636372.323,7071492.1
1514636375.675,7071492.3
1514636379.027,7071493.3
1514636382.380,7071493.1
1514636385.731,7071492.6
1514636389.084,7071492.6
1514636392.436,7071491.6
1514636395.787,7071492.1
1514636399.140,7071493.3
1514636402.492,7071492.6
1514636405.844,7071492.6
1514636409.196,7071492.3
1514636412.548,7071493.3
1514636415.901,7071493.6
1514636419.252,7071491.8
1514636422.604,7071492.6
1514636425.956,7071492.3
1514636429.309,7071492.6
1514636432.661,7071492.1
1514636436.012,7071493.6
1514636439.364,7071494.9
1514636442.717,7071495.6
1514636446.069,7071495.1
1514636449.421,7071494.9
1514636452.773,7071494.4
1514636456.125,7071493.3
1514636459.477,7071494.4
1514636462.829,7071494.1
1514636466.182,7071493.3
1514636469.533,7071493.8
1514636472.885,7071494.4
1514636476.238,7071493.6
1514636479.590,7071493.6
1514636482.943,7071494.6
1514636486.294,7071493.1
1514636489.647,7071493.6
1514636492.999,7071493.6
1514636496.350,7071493.3
1514636499.703,7071494.4
1514636503.055,7071493.1
1514636506.407,7071493.8
1514636509.758,7071493.6
1514636513.111,7071493.3
1514636516.463,7071494.1
1514636519.816,7071494.9
1514636523.167,7071492.8
1514636526.519,7071491.8
1514636529.872,7071494.1
1514636533.224,7071493.8
1514636536.576,7071493.3
1514636539.927,7071493.8
1514636543.280,7071494.9
1514636546.632,7071493.8
1514636549.984,7071495.6
1514636553.336,7071494.1
1514636556.688,7071494.9
1514636560.041,7071493.6
1514636563.392,7071493.8
1514636566.744,7071493.8
1514636570.097,7071492.8
1514636573.448,7071493.8
1514636576.801,7071494.1
1514636580.153,7071494.1
1514636583.505,7071493.8
1514636586.857,7071492.6
1514636590.209,7071495.1
1514636593.562,7071494.9
1514636596.913,7071493.8
1514636600.265,7071493.8
1514636603.618,7071494.7
1514636606.969,7071493.1
1514636610.322,7071494.4
1514636613.674,7071494.1
1514636617.026,7071493.3
1514636620.378,7071493.3
1514636623.730,7071493.8
1514636627.082,7071493.1
1514636630.434,7071493.1
1514636633.787,7071493.8
1514636637.139,7071493.3
1514636640.490,7071493.1
1514636643.843,7071492.6
1514636647.195,7071495.4
1514636650.546,7071494.1
1514636653.899,7071493.3
1514636657.251,7071493.1
1514636660.603,7071493.6
1514636663.955,7071493.3
1514636667.308,7071493.3
1514636670.659,7071493.3
1514636674.012,7071494.6
1514636677.364,7071493.3
1514636680.716,7071494.1
1514636684.068,7071493.1
1514636687.420,7071493.3
1514636690.772,7071492.3
1514636694.124,7071491.8
1514636697.476,7071492.3
1514636700.828,7071492.1
1514636704.180,7071491.1
1514636707.533,7071491.8
1514636710.884,7071491.8
1514636714.237,7071492.1
1514636717.588,7071491.3
1514636720.941,7071492.3
1514636724.293,7071492.1
1514636727.645,7071492.6
1514636730.997,7071492.1
1514636734.349,7071492.1
1514636737.701,7071492.6
1514636741.054,7071490.8
1514636744.406,7071492.1
1514636747.758,7071493.3
1514636751.109,7071493.1
1514636754.462,7071493.8
1514636757.814,7071492.3
1514636761.166,7071492.3
1514636764.518,7071494.1
1514636767.870,7071492.8
1514636771.222,7071491.3
1514636774.574,7071492.1
1514636777.927,7071493.6
1514636781.279,7071493.1
1514636784.631,7071492.8
1514636787.983,7071492.8
1514636791.335,7071492.6
1514636794.687,7071492.8
1514636798.039,7071494.4
1514636801.391,7071494.4
1514636804.743,7071492.8
1514636808.096,7071493.3
1514636811.447,7071493.8
1514636814.800,7071493.8
1514636818.152,7071492.8
1514636821.504,7071493.8
1514636824.856,7071492.6
1514636828.208,7071493.3
1514636831.560,7071492.3
1514636834.912,7071493.1
1514636838.265,7071492.8
1514636841.616,7071493.8
1514636844.968,7071493.8
1514636848.321,7071491.8
1514636851.672,7071492.3
1514636855.025,7071493.6
1514636858.376,7071492.8
1514636861.729,7071493.3
1514636865.081,7071493.6
1514636868.433,7071493.8
1514636871.786,7071493.3
1514636875.137,7071494.1
1514636878.490,7071493.6
1514636881.841,7071492.6
1514636885.194,7071493.3
1514636888.546,7071493.8
1514636891.898,7071493.6
1514636895.250,7071493.3
1514636898.602,7071493.6
1514636901.954,7071493.1
1514636905.306,7071494.4
1514636908.658,7071494.6
1514636912.010,7071493.1
1514636915.363,7071494.1
1514636918.715,7071493.8
1514636922.066,7071493.3
1514636925.419,7071494.1
1514636928.771,7071493.6
1514636932.123,7071493.8
1514636935.475,7071493.6
1514636938.827,7071494.4
1514636942.179,7071492.3
1514636945.531,7071493.8
1514636948.884,7071494.6
1514636952.236,7071494.1
1514636955.588,7071492.3
1514636958.940,7071492.6
1514636962.292,7071492.6
1514636965.644,7071493.6
1514636968.996,7071493.6
1514636972.348,7071493.1
1514636975.700,7071493.6
1514636979.053,7071493.6
1514636982.404,7071494.1
1514636985.757,7071492.8
1514636989.109,7071493.8
1514636992.460,7071492.8
1514636995.813,7071493.8
1514636999.165,7071493.8
1514637002.517,7071494.6
1514637005.869,7071492.8
1514637009.221,7071493.8
1514637012.574,7071493.3
1514637015.925,7071493.6
1514637019.277,7071493.8
1514637022.629,7071493.3
1514637025.982,7071494.1
1514637029.334,7071493.8
1514637032.686,7071495.1
1514637036.038,7071492.8
1514637039.390,7071493.3
1514637042.742,7071493.3
1514637046.094,7071492.6
1514637049.447,7071491.6
1514637052.798,7071492.1
1514637056.151,7071492.8
1514637059.503,7071491.8
1514637062.854,7071492.1
1514637066.207,7071492.3
1514637069.558,7071492.3
1514637072.911,7071493.1
1514637076.263,7071492.6
1514637079.615,7071492.1
1514637082.967,7071492.1
1514637086.319,7071492.8
1514637089.672,7071491.6
1514637093.023,7071493.1
1514637096.376,7071491.8
1514637099.728,7071492.3
1514637103.080,7071492.6
1514637106.432,7071491.6
1514637109.784,7071492.1
1514637113.137,7071493.8
1514637116.488,7071494.4
1514637119.841,7071493.3
1514637123.193,7071495.1
1514637126.544,7071493.8
1514637129.897,7071493.8
1514637133.249,7071493.8
1514637136.601,7071492.6
1514637139.953,7071493.1
1514637143.305,7071495.4
1514637146.657,7071494.6
1514637150.009,7071493.8
1514637153.362,7071494.4
1514637156.713,7071493.1
1514637160.065,7071495.4
1514637163.418,7071493.6
1514637166.770,7071494.1
1514637170.122,7071495.1
1514637173.474,7071493.6
1514637176.826,7071494.4
1514637180.178,7071494.9
1514637183.530,7071494.1
1514637186.882,7071494.4
1514637190.234,7071493.1
1514637193.586,7071493.1
