timestamp,332B
1500618177.418,9999040.3
1500618180.764,9999040.8
1500618184.109,9999040.8
1500618187.455,9999039.3
1500618190.800,9999039.6
1500618194.146,9999041.4
1500618197.491,9999040.8
1500618200.837,9999040.8
1500618204.182,9999039.8
1500618207.527,9999039.3
1500618210.873,9999039.3
1500618214.218,9999040.1
1500618217.563,9999039.8
1500618220.909,9999039.1
1500618224.254,9999039.6
1500618227.600,9999038.6
1500618230.945,9999039.3
1500618234.291,9999039.6
1500618237.636,9999040.6
1500618240.981,9999038.6
1500618244.327,9999037.8
1500618247.672,9999038.8
1500618251.018,9999039.3
1500618254.363,9999037.8
1500618257.709,9999038.3
1500618261.054,9999037.8
1500618264.399,9999036.8
1500618267.745,9999038.3
1500618271.090,9999037.8
1500618274.436,9999038.3
1500618277.781,9999038.3
1500618281.126,9999039.6
1500618284.472,9999036.8
1500618287.817,9999038.3
1500618291.163,9999037.5
1500618294.508,9999038.3
1500618297.853,9999038.1
1500618301.199,9999038.6
1500618304.544,9999039.1
1500618307.890,9999038.3
1500618311.235,9999038.3
1500618314.581,9999038.8
1500618317.926,9999038.3
1500618321.271,9999039.1
1500618324.617,9999039.1
1500618327.962,9999038.6
1500618331.308,9999038.8
1500618334.653,9999038.1
1500618337.998,9999039.3
1500618341.344,9999039.1
1500618344.689,9999039.3
1500618348.035,9999038.6
1500618351.380,9999039.3
1500618354.725,9999039.3
1500618358.071,9999039.3
1500618361.416,9999040.8
1500618364.762,9999039.3
1500618368.107,9999040.8
1500618371.453,9999039.8
1500618374.798,9999040.1
1500618378.143,9999040.6
1500618381.489,9999038.8
1500618384.834,9999039.8
1500618388.179,9999039.6
1500618391.525,9999039.8
1500618394.870,9999039.6
1500618398.216,9999038.6
1500618401.561,9999039.8
1500618404.907,9999039.6
1500618408.252,9999041.6
1500618411.598,9999039.3
1500618414.943,9999041.1
1500618418.288,9999043.6
1500618421.634,9999041.1
1500618424.979,9999041.9
1500618428.325,9999041.6
1500618431.670,9999044.4
1500618435.015,9999042.6
1500618438.361,9999042.1
