si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.029,-46.582,406,406.116,25.0013,0.0013,165.84,3.9724
21.018,-46.582,406,406.228,25.0026,0.0026,164.59,3.9844
21.018,-46.582,406,406.462,25.0053,0.0053,161.97,3.9870
21.061,-46.582,406,406.344,25.0039,0.0039,162.94,3.9428
21.040,-46.582,406,405.906,24.9989,-0.0011,167.39,3.9593
21.050,-46.582,406,405.973,24.9997,-0.0003,166.72,3.9493
21.050,-46.582,406,406.023,25.0003,0.0003,166.22,3.9499
21.061,-46.582,406,406.262,25.0030,0.0030,163.67,3.9419
21.072,-46.582,406,406.168,25.0019,0.0019,164.50,3.9301
21.061,-46.582,406,406.164,25.0019,0.0019,164.45,3.9407
21.072,-46.582,406,406.147,25.0017,0.0017,164.53,3.9298
21.072,-46.582,406,405.958,24.9995,-0.0005,166.44,3.9277
21.083,-46.582,406,405.793,24.9976,-0.0024,168.22,3.9151
21.093,-46.582,406,405.968,24.9996,-0.0004,166.48,3.9063
21.093,-46.582,406,405.933,24.9992,-0.0008,166.88,3.9059
21.104,-46.582,406,405.939,24.9993,-0.0007,166.86,3.8953
21.104,-46.582,406,405.996,25.0000,-0.0000,166.29,3.8959
21.104,-46.582,406,406.036,25.0004,0.0004,165.87,3.8964
21.115,-46.582,406,406.071,25.0008,0.0008,165.48,3.8861
21.104,-46.582,406,406.028,25.0003,0.0003,165.88,3.8963
21.125,-46.582,406,405.823,24.9980,-0.0020,168.04,3.8725
21.125,-46.582,406,405.689,24.9965,-0.0035,169.57,3.8710
21.147,-46.582,406,405.830,24.9981,-0.0019,168.26,3.8511
21.147,-46.582,406,405.963,24.9996,-0.0004,166.96,3.8527
21.147,-46.582,406,405.991,24.9999,-0.0001,166.68,3.8530
21.136,-46.582,406,406.213,25.0024,0.0024,164.33,3.8662
21.147,-46.582,406,406.158,25.0018,0.0018,164.79,3.8549
21.158,-46.582,406,406.366,25.0042,0.0042,162.49,3.8465
21.147,-46.582,406,406.259,25.0029,0.0029,163.40,3.8560
21.158,-46.582,406,406.387,25.0044,0.0044,161.89,3.8467
21.190,-46.582,406,406.478,25.0054,0.0054,160.69,3.8156
21.179,-46.582,406,406.565,25.0064,0.0064,159.48,3.8273
21.168,-46.582,406,406.493,25.0056,0.0056,159.91,3.8372
21.168,-46.582,406,406.490,25.0056,0.0056,159.64,3.8372
21.201,-46.582,406,406.236,25.0027,0.0027,162.04,3.8021
21.190,-46.582,406,406.016,25.0002,0.0002,164.24,3.8104
