timestamp,ambient_c,ambient_rh,set_c,err_c,duty_cycle
1521588959.01,24.912,53.929,25.000,-0.088,0.000
1521588959.42,24.922,53.944,25.000,-0.078,0.000
1521588959.83,24.933,53.937,25.000,-0.067,0.000
1521588960.23,24.933,53.944,25.000,-0.067,0.000
1521588960.64,24.933,53.929,25.000,-0.067,0.000
1521588961.05,24.922,53.937,25.000,-0.078,0.000
1521588961.46,24.922,53.944,25.000,-0.078,0.000
1521588961.87,24.922,53.944,25.000,-0.078,0.000
1521588962.27,24.912,53.944,25.000,-0.088,0.000
1521588962.68,24.912,53.952,25.000,-0.088,0.000
1521588963.09,24.922,53.944,25.000,-0.078,0.000
1521588963.50,24.912,53.952,25.000,-0.088,0.000
1521588963.91,24.933,53.944,25.000,-0.067,0.000
1521588964.31,24.922,53.952,25.000,-0.078,0.000
1521588964.72,24.922,53.937,25.000,-0.078,0.000
1521588965.13,24.933,53.937,25.000,-0.067,0.000
1521588965.54,24.933,53.952,25.000,-0.067,0.000
1521588965.94,24.912,53.944,25.000,-0.088,0.000
1521588966.35,24.922,53.944,25.000,-0.078,0.000
1521588966.76,24.933,53.967,25.000,-0.067,0.000
1521588967.17,24.933,53.952,25.000,-0.067,0.000
1521588967.58,24.933,53.937,25.000,-0.067,0.000
1521588967.98,24.933,53.937,25.000,-0.067,0.000
1521588968.39,24.922,53.952,25.000,-0.078,0.000
1521588968.80,24.944,53.959,25.000,-0.056,0.000
1521588969.21,24.944,53.952,25.000,-0.056,0.000
1521588969.62,24.922,53.952,25.000,-0.078,0.000
1521588970.02,24.944,53.944,25.000,-0.056,0.000
1521588970.43,24.933,53.952,25.000,-0.067,0.000
1521588970.84,24.933,53.952,25.000,-0.067,0.000
1521588971.25,24.944,53.952,25.000,-0.056,0.000
1521588971.66,24.955,53.952,25.000,-0.045,0.000
1521588972.06,24.944,53.967,25.000,-0.056,0.000
1521588972.47,24.955,53.959,25.000,-0.045,0.000
1521588972.88,24.944,53.967,25.000,-0.056,0.000
1521588973.29,24.922,53.967,25.000,-0.078,0.000
1521588973.69,24.955,53.959,25.000,-0.045,0.000
1521588974.10,24.922,53.967,25.000,-0.078,0.000
1521588974.51,24.933,53.937,25.000,-0.067,0.000
1521588974.92,24.922,53.952,25.000,-0.078,0.000
1521588975.33,24.933,53.952,25.000,-0.067,0.000
1521588975.74,24.933,53.952,25.000,-0.067,0.000
1521588976.14,24.944,53.952,25.000,-0.056,0.000
1521588976.55,24.933,53.952,25.000,-0.067,0.000
1521588976.96,24.944,53.967,25.000,-0.056,0.000
1521588977.37,24.933,53.959,25.000,-0.067,0.000
1521588977.77,24.944,53.959,25.000,-0.056,0.000
1521588978.18,24.922,53.959,25.000,-0.078,0.000
1521588978.59,24.933,53.944,25.000,-0.067,0.000
1521588979.00,24.933,53.959,25.000,-0.067,0.000
1521588979.41,24.933,53.967,25.000,-0.067,0.000
1521588979.81,24.944,53.967,25.000,-0.056,0.000
1521588980.22,24.933,53.952,25.000,-0.067,0.000
1521588980.63,24.933,53.952,25.000,-0.067,0.000
1521588981.04,24.933,53.982,25.000,-0.067,0.000
1521588981.45,24.944,53.975,25.000,-0.056,0.000
1521588981.85,24.944,53.975,25.000,-0.056,0.000
1521588982.26,24.955,53.975,25.000,-0.045,0.000
1521588982.67,24.944,53.967,25.000,-0.056,0.000
1521588983.08,24.944,53.975,25.000,-0.056,0.000
1521588983.49,24.933,53.967,25.000,-0.067,0.000
1521588983.89,24.933,53.967,25.000,-0.067,0.000
