timestamp,lm399,temp_c,humidity
1516252670.73,6.885841,9.071,68.570
1516252674.73,6.885841,9.028,68.699
1516252677.73,6.885841,8.985,68.821
1516252680.73,6.885843,8.964,68.921
1516252684.73,6.885842,8.921,69.035
1516252687.73,6.885846,8.900,69.119
1516252690.73,6.885847,8.878,69.226
1516252694.73,6.885846,8.814,69.333
1516252697.73,6.885852,8.803,69.409
1516252701.73,6.885844,8.761,69.539
1516252704.72,6.885844,8.729,69.600
1516252707.73,6.885843,8.707,69.691
1516252711.72,6.885843,8.664,69.813
1516252714.72,6.885845,8.664,69.890
1516252717.72,6.885846,8.632,69.974
1516252721.72,6.885845,8.590,70.088
1516252724.72,6.885847,8.579,70.164
1516252727.72,6.885846,8.547,70.202
1516252731.72,6.885843,8.536,70.324
1516252734.72,6.885844,8.493,70.355
1516252737.72,6.885853,8.483,70.416
1516252741.72,6.885907,8.450,70.546
1516252744.72,6.885919,8.557,70.904
1516252747.72,6.885866,8.504,71.248
1516252751.72,6.885851,8.472,71.835
1516252754.72,6.885844,8.450,72.262
1516252757.71,6.885840,8.440,72.705
1516252761.72,6.885840,8.397,73.247
1516252764.72,6.885840,8.397,73.597
1516252768.71,6.885840,8.365,73.994
1516252771.72,6.885841,8.343,74.261
1516252774.71,6.885840,8.301,74.498
1516252778.71,6.885840,8.279,74.788
1516252781.71,6.885840,8.258,74.956
1516252784.71,6.885840,8.237,75.100
1516252788.71,6.885840,8.237,75.253
1516252791.71,6.885840,8.194,75.345
1516252794.71,6.885842,8.172,75.429
1516252798.71,6.885840,8.162,75.520
1516252801.71,6.885840,8.108,75.573
1516252804.71,6.885838,8.119,75.612
1516252808.71,6.885840,8.087,75.650
1516252811.7,6.885839,8.087,75.642
1516252814.71,6.885839,8.065,75.665
1516252818.7,6.885842,8.033,75.635
1516252821.7,6.885841,8.001,75.650
1516252825.7,6.885840,8.012,75.604
1516252828.7,6.885839,7.969,75.581
1516252831.7,6.885840,7.969,75.558
1516252835.7,6.885837,7.937,75.528
1516252838.7,6.885839,7.937,75.505
1516252841.7,6.885837,7.916,75.459
1516252845.7,6.885838,7.894,75.429
1516252848.7,6.885839,7.884,75.421
