timestamp,microvolts,temp_c,"Savitzky-Golay (151,2)"
1545284637.56,7045695.16,20.406,7045696.09036
1545284642.72,7045695.57,20.413,7045696.06485
1545284647.91,7045696.02,20.416,7045696.01457
1545284653.08,7045695.0,20.421,7045695.97439
1545284658.26,7045696.4,20.436,7045695.94798
1545284663.43,7045698.1,20.427,7045695.90448
1545284668.61,7045697.97,20.424,7045695.88721
1545284673.79,7045696.83,20.445,7045695.8812
1545284678.97,7045695.61,20.432,7045695.84102
1545284684.14,7045696.57,20.439,7045695.82245
1545284689.31,7045696.97,20.43,7045695.80836
1545284694.49,7045697.76,20.441,7045695.78233
1545284699.66,7045695.62,20.447,7045695.76491
1545284704.84,7045698.11,20.45,7045695.75348
1545284710.03,7045697.58,20.455,7045695.74178
1545284715.2,7045697.38,20.45,7045695.73529
1545284720.38,7045696.36,20.452,7045695.72616
1545284725.56,7045697.09,20.452,7045695.74006
1545284730.74,7045696.87,20.445,7045695.74474
1545284735.91,7045694.92,20.447,7045695.77865
1545284741.09,7045691.4,20.45,7045695.78748
