timestamp,svrt-no-tempco
1512921453.956,10000883.0
1512921457.309,10000890.0
1512921460.661,10000888.0
1512921464.013,10000887.0
1512921467.365,10000897.0
1512921470.717,10000876.0
1512921474.069,10000839.0
1512921477.421,10000844.0
1512921480.773,10000871.0
1512921484.125,10000898.0
1512921487.477,10000872.0
1512921490.829,10000863.0
1512921494.181,10000873.0
1512921497.534,10000905.0
1512921500.885,10000940.0
1512921504.237,10000920.0
1512921507.590,10000926.0
1512921510.942,10000953.0
1512921514.294,10000962.0
1512921517.646,10000918.0
1512921520.997,10000864.0
1512921524.350,10000848.0
1512921527.702,10000855.0
1512921531.054,10000878.0
1512921534.406,10000853.0
1512921537.758,10000857.0
1512921541.111,10000859.0
1512921544.462,10000888.0
1512921547.814,10000902.0
1512921551.166,10000992.0
1512921554.519,10000953.0
1512921557.871,10000917.0
1512921561.223,10000864.0
1512921564.574,10000827.0
1512921567.926,10000814.0
1512921571.279,10000953.0
1512921574.631,10000854.0
1512921577.983,10000838.0
1512921581.335,10000886.0
1512921584.687,10000852.0
1512921588.039,10000847.0
1512921591.391,10000941.0
1512921594.744,10000945.0
1512921598.096,10000930.0
1512921601.447,10000942.0
1512921604.799,10000895.0
1512921608.151,10000811.0
1512921611.504,10000806.0
1512921614.856,10000843.0
1512921618.208,10000834.0
1512921621.560,10000808.0
1512921624.911,10000843.0
1512921628.264,10000819.0
1512921631.616,10000843.0
1512921634.968,10000866.0
1512921638.320,10000844.0
1512921641.673,10000864.0
1512921645.024,10000856.0
1512921648.376,10000857.0
1512921651.729,10000864.0
1512921655.081,10000872.0
1512921658.433,10000840.0
1512921661.785,10000840.0
1512921665.136,10000863.0
1512921668.489,10000907.0
1512921671.841,10000855.0
1512921675.193,10000839.0
1512921678.545,10000842.0
1512921681.897,10000876.0
1512921685.250,10000852.0
1512921688.601,10000939.0
1512921691.953,10000940.0
1512921695.305,10000818.0
1512921698.657,10000844.0
1512921702.010,10000848.0
1512921705.362,10000849.0
1512921708.748,10000822.0
1512921712.066,10000862.0
1512921715.418,10000826.0
1512921718.770,10000846.0
1512921722.122,10000879.0
1512921725.474,10000908.0
1512921728.826,10000884.0
