setpoint,input,ouput
400.00,384.75,0.00
400.00,384.17,0.00
400.00,383.70,0.00
400.00,384.14,0.00
400.00,383.65,0.00
400.00,383.85,0.00
400.00,384.06,0.00
400.00,383.37,0.00
400.00,383.23,0.00
400.00,383.60,0.00
400.00,383.15,0.00
400.00,382.98,0.00
400.00,383.40,0.00
400.00,383.06,0.00
400.00,383.29,0.00
400.00,383.11,0.00
400.00,382.47,0.00
400.00,383.06,0.00
400.00,383.18,0.00
400.00,382.90,0.00
400.00,382.53,0.00
400.00,382.72,0.00
400.00,383.18,0.00
400.00,382.85,0.00
400.00,382.52,0.00
400.00,382.53,0.00
400.00,382.52,0.00
400.00,382.49,0.00
400.00,382.36,0.00
400.00,381.83,0.00
400.00,381.74,0.00
400.00,382.47,0.00
400.00,382.04,0.00
400.00,382.60,0.00
400.00,382.38,0.00
400.00,381.66,0.00
400.00,382.12,0.00
400.00,381.80,0.00
400.00,381.90,0.00
400.00,382.00,0.00
400.00,382.58,0.00
400.00,382.02,0.00
400.00,381.57,0.00
400.00,381.66,0.00
400.00,381.41,0.00
400.00,381.35,0.00
400.00,380.74,0.00
400.00,381.07,0.00
400.00,381.23,0.00
400.00,380.84,0.00
400.00,381.08,0.00
400.00,381.16,0.00
400.00,381.54,0.00
400.00,380.57,0.00
400.00,380.96,0.00
400.00,380.50,0.00
400.00,380.67,0.00
400.00,381.27,0.00
400.00,380.97,0.00
400.00,380.75,0.00
400.00,380.45,0.00
400.00,380.87,0.00
400.00,380.94,0.00
400.00,380.46,0.00
400.00,380.51,0.00
400.00,380.37,0.00
400.00,380.75,0.00
400.00,380.01,0.00
400.00,379.75,0.00
400.00,379.71,0.00
400.00,379.38,0.00
400.00,379.18,0.00
400.00,379.21,0.00
400.00,379.79,0.00
400.00,379.10,0.00
400.00,378.50,0.00
400.00,379.41,0.00
400.00,379.45,0.00
400.00,378.52,0.00
400.00,378.55,0.00
400.00,379.37,0.00
400.00,379.85,0.00
400.00,379.21,0.00
400.00,379.29,0.00
400.00,379.23,0.00
400.00,379.15,0.00
400.00,378.99,0.00
400.00,379.18,0.00
400.00,378.82,0.00
400.00,379.31,0.00
400.00,379.46,0.00
400.00,378.81,0.00
400.00,378.30,0.00
400.00,378.24,0.00
400.00,378.40,0.00
400.00,378.72,0.00
400.00,378.28,0.00
400.00,377.82,0.00
400.00,378.05,0.00
400.00,377.93,0.00
400.00,378.22,0.00
400.00,378.14,0.00
400.00,377.43,0.00
400.00,377.52,0.00
400.00,377.61,0.00
400.00,377.58,0.00
400.00,377.22,0.00
400.00,377.75,0.00
400.00,377.36,0.00
400.00,377.34,0.00
400.00,376.98,0.00
400.00,377.64,0.00
400.00,377.46,0.00
400.00,377.19,0.00
400.00,377.04,0.00
400.00,377.04,0.00
400.00,376.96,0.00
400.00,376.79,0.00
400.00,376.83,0.00
400.00,377.08,0.00
400.00,377.06,0.00
400.00,377.07,0.00
400.00,376.93,0.00
400.00,376.95,0.00
400.00,376.14,0.00
400.00,376.33,0.00
400.00,376.32,0.00
400.00,376.02,0.00
400.00,375.93,0.00
400.00,375.94,0.00
400.00,375.75,0.00
400.00,375.44,0.00
400.00,375.97,0.00
400.00,376.27,0.00
400.00,375.68,0.00
400.00,375.58,0.00
400.00,375.86,0.00
400.00,375.38,0.00
400.00,374.81,0.00
400.00,375.21,0.00
400.00,375.60,0.00
400.00,375.14,0.00
400.00,375.35,0.00
400.00,375.35,0.00
400.00,374.88,0.00
400.00,374.52,0.00
400.00,375.43,0.00
400.00,375.27,0.00
400.00,374.66,0.00
400.00,375.25,0.00
400.00,374.69,0.00
400.00,375.11,0.00
400.00,374.65,0.00
400.00,374.86,0.00
400.00,374.29,0.00
400.00,374.25,0.00
400.00,374.56,0.00
400.00,374.61,0.00
400.00,374.26,0.00
400.00,374.52,0.00
400.00,374.78,0.00
400.00,373.54,0.00
400.00,374.43,0.00
400.00,374.42,0.00
400.00,373.82,0.00
400.00,373.77,0.00
400.00,373.98,0.00
400.00,374.12,0.00
400.00,373.86,0.00
400.00,374.61,0.00
400.00,373.79,0.00
400.00,373.38,0.00
400.00,373.40,0.00
400.00,373.39,0.00
400.00,373.71,0.00
400.00,373.41,0.00
400.00,373.34,0.00
400.00,373.36,0.00
400.00,373.23,0.00
400.00,373.02,0.00
400.00,373.76,0.00
400.00,373.49,0.00
400.00,372.92,0.00
400.00,372.59,0.00
400.00,372.97,0.00
400.00,372.77,0.00
400.00,372.29,0.00
400.00,372.79,0.00
400.00,372.63,0.00
400.00,372.77,0.00
400.00,372.74,0.00
400.00,373.36,0.00
400.00,373.05,0.00
400.00,372.26,0.00
400.00,372.45,0.00
400.00,372.24,0.00
400.00,372.43,0.00
400.00,372.05,0.00
400.00,372.38,0.00
400.00,371.91,0.00
400.00,371.93,0.00
400.00,372.62,0.00
400.00,372.94,0.00
400.00,371.68,0.00
400.00,371.75,0.00
400.00,372.08,0.00
400.00,371.35,0.00
400.00,371.26,0.00
400.00,371.13,0.00
400.00,371.36,0.00
400.00,372.04,0.00
400.00,371.17,0.00
400.00,371.26,0.00
400.00,371.01,0.00
400.00,370.82,0.00
400.00,371.57,0.00
400.00,371.50,0.00
400.00,371.00,0.00
400.00,370.66,0.00
400.00,371.36,0.00
400.00,370.78,0.00
