timestamp,lm399-cotton-rounds
1514607279.707,6885961.2
1514607283.059,6885961.2
1514607286.412,6885962.2
1514607289.763,6885961.2
1514607293.116,6885960.7
1514607296.468,6885962.0
1514607299.819,6885960.9
1514607303.172,6885960.4
1514607306.524,6885962.0
1514607309.876,6885961.7
1514607313.228,6885961.2
1514607316.581,6885962.2
1514607319.932,6885960.9
1514607323.285,6885961.5
1514607326.637,6885961.2
1514607329.989,6885961.2
1514607333.341,6885962.2
1514607336.693,6885961.7
1514607340.045,6885961.2
1514607343.398,6885960.4
1514607346.749,6885960.2
1514607350.102,6885961.5
1514607353.454,6885960.4
1514607356.805,6885960.2
1514607360.158,6885960.2
1514607363.510,6885960.2
1514607366.862,6885960.2
1514607370.214,6885959.4
1514607373.566,6885961.2
1514607376.918,6885960.4
1514607380.271,6885960.2
1514607383.623,6885961.2
1514607386.975,6885960.9
1514607390.327,6885961.7
1514607393.679,6885961.5
1514607397.032,6885961.2
1514607400.383,6885961.5
1514607403.736,6885960.4
1514607407.087,6885959.8
1514607410.440,6885962.5
1514607413.792,6885962.0
1514607417.144,6885963.0
1514607420.496,6885963.0
1514607423.849,6885962.7
1514607427.200,6885964.0
1514607430.553,6885960.7
1514607433.905,6885960.2
1514607437.257,6885961.5
1514607440.609,6885963.2
1514607443.961,6885962.0
1514607447.313,6885962.0
1514607450.666,6885962.2
1514607454.017,6885962.7
1514607457.370,6885963.0
1514607460.721,6885961.5
1514607464.074,6885960.7
1514607467.426,6885961.5
1514607470.778,6885960.7
1514607474.131,6885961.5
1514607477.482,6885961.7
1514607480.835,6885960.4
1514607484.186,6885961.7
1514607487.539,6885961.7
1514607490.890,6885962.0
1514607494.243,6885963.2
1514607497.594,6885961.5
1514607500.947,6885961.7
1514607504.299,6885962.5
1514607507.651,6885962.0
1514607511.004,6885961.5
1514607514.355,6885963.0
1514607517.708,6885962.5
1514607521.060,6885962.7
1514607524.412,6885963.0
1514607527.764,6885961.5
1514607531.117,6885962.7
1514607534.468,6885961.6
1514607537.821,6885962.7
1514607541.172,6885962.2
1514607544.525,6885963.2
1514607547.877,6885962.0
1514607551.229,6885962.7
1514607554.581,6885962.7
1514607557.933,6885963.2
1514607561.285,6885963.0
1514607564.638,6885963.2
1514607567.989,6885962.2
1514607571.342,6885962.7
1514607574.693,6885962.7
1514607578.046,6885962.5
1514607581.398,6885963.2
1514607584.750,6885964.2
1514607588.102,6885963.0
1514607591.455,6885962.5
1514607594.807,6885963.0
1514607598.159,6885963.7
1514607601.510,6885964.0
1514607604.863,6885962.2
1514607608.215,6885962.5
1514607611.567,6885962.5
1514607614.919,6885962.7
1514607618.271,6885964.0
1514607621.623,6885960.7
1514607624.976,6885963.5
1514607628.327,6885963.2
1514607631.680,6885963.7
1514607635.031,6885964.2
1514607638.384,6885964.7
1514607641.736,6885963.7
1514607645.088,6885961.5
1514607648.440,6885960.4
1514607651.793,6885961.2
1514607655.144,6885961.5
1514607658.497,6885960.4
1514607661.848,6885960.7
1514607665.201,6885962.2
1514607668.553,6885962.7
1514607671.905,6885961.2
1514607675.257,6885962.0
1514607678.609,6885962.7
1514607681.962,6885962.2
1514607685.313,6885963.2
1514607688.666,6885964.2
1514607692.017,6885962.2
1514607695.370,6885961.2
1514607698.722,6885962.7
1514607702.074,6885963.0
1514607705.427,6885961.7
1514607708.778,6885964.2
1514607712.131,6885964.5
1514607715.482,6885965.0
1514607718.835,6885964.7
1514607722.187,6885964.5
1514607725.539,6885965.0
1514607728.891,6885963.5
1514607732.244,6885964.0
1514607735.595,6885965.0
1514607738.948,6885963.2
1514607742.299,6885964.0
1514607745.652,6885965.0
1514607749.004,6885966.0
1514607752.356,6885966.3
1514607755.709,6885966.3
1514607759.060,6885965.5
1514607762.413,6885965.3
1514607765.765,6885964.5
1514607769.117,6885962.7
1514607772.469,6885961.7
1514607775.821,6885962.5
1514607779.173,6885962.5
1514607782.526,6885962.5
1514607785.877,6885962.7
1514607789.230,6885964.5
1514607792.581,6885962.7
1514607795.934,6885962.7
1514607799.286,6885963.0
1514607802.638,6885962.0
1514607805.990,6885962.7
1514607809.343,6885963.5
1514607812.694,6885962.7
1514607816.047,6885960.7
1514607819.399,6885959.7
1514607822.751,6885959.4
1514607826.103,6885960.9
1514607829.455,6885959.9
1514607832.807,6885960.4
1514607836.159,6885961.1
1514607839.512,6885961.2
1514607842.863,6885961.7
1514607846.216,6885960.7
1514607849.568,6885959.9
1514607852.920,6885959.9
1514607856.272,6885960.7
1514607859.624,6885960.2
1514607862.976,6885961.2
1514607866.328,6885961.5
1514607869.681,6885960.4
1514607873.032,6885961.7
1514607876.385,6885962.0
1514607879.737,6885960.7
1514607883.089,6885960.9
1514607886.441,6885960.9
1514607889.793,6885962.0
1514607893.145,6885961.5
1514607896.498,6885962.5
1514607899.849,6885962.0
1514607903.202,6885961.7
1514607906.553,6885961.5
1514607909.906,6885962.2
1514607913.258,6885960.7
1514607916.610,6885961.2
1514607919.962,6885960.9
1514607923.315,6885961.2
1514607926.666,6885960.4
1514607930.019,6885959.9
1514607933.370,6885959.2
1514607936.723,6885959.4
1514607940.075,6885960.9
1514607943.427,6885960.2
1514607946.779,6885960.9
1514607950.131,6885960.4
1514607953.483,6885961.5
1514607956.836,6885960.9
1514607960.187,6885961.2
1514607963.540,6885959.4
1514607966.891,6885960.9
1514607970.244,6885961.7
1514607973.596,6885960.9
1514607976.948,6885962.2
1514607980.300,6885961.2
1514607983.652,6885959.7
1514607987.004,6885961.2
1514607990.357,6885961.7
1514607993.708,6885960.9
1514607997.061,6885960.9
1514608000.413,6885961.2
1514608003.766,6885960.4
1514608007.117,6885960.4
1514608010.470,6885961.7
1514608013.821,6885960.4
1514608017.174,6885960.9
1514608020.526,6885962.5
1514608023.878,6885961.5
1514608027.230,6885959.9
1514608030.582,6885960.9
1514608033.934,6885960.7
1514608037.286,6885960.7
1514608040.638,6885959.4
1514608043.990,6885959.4
1514608047.343,6885959.2
1514608050.695,6885960.7
1514608054.047,6885958.7
1514608057.399,6885959.4
1514608060.751,6885959.7
1514608064.104,6885959.4
1514608067.455,6885960.7
1514608070.808,6885960.7
1514608074.159,6885959.9
1514608077.512,6885959.9
1514608080.864,6885959.4
1514608084.216,6885959.9
1514608087.569,6885960.4
1514608090.920,6885959.9
1514608094.273,6885960.4
1514608097.624,6885960.2
1514608100.977,6885959.4
1514608104.328,6885959.7
1514608107.681,6885960.9
1514608111.033,6885959.9
1514608114.385,6885960.7
1514608117.738,6885960.4
1514608121.089,6885961.2
1514608124.442,6885960.4
1514608127.793,6885960.7
1514608131.146,6885958.9
1514608134.497,6885959.2
1514608137.850,6885959.7
1514608141.202,6885960.7
1514608144.554,6885959.4
1514608147.907,6885960.7
1514608151.258,6885958.4
1514608154.611,6885959.7
1514608157.962,6885960.4
1514608161.315,6885960.2
1514608164.666,6885960.7
1514608168.019,6885963.2
1514608171.372,6885961.5
1514608174.723,6885961.2
1514608178.076,6885963.0
1514608181.427,6885962.7
1514608184.780,6885962.5
1514608188.131,6885963.0
1514608191.484,6885962.5
1514608194.836,6885963.5
1514608198.188,6885961.2
1514608201.540,6885961.2
1514608204.892,6885959.4
1514608208.245,6885961.5
1514608211.596,6885960.9
1514608214.949,6885961.7
1514608218.301,6885960.4
1514608221.653,6885962.2
1514608225.005,6885962.0
1514608228.357,6885962.0
1514608231.709,6885962.5
1514608235.061,6885961.7
1514608238.414,6885961.2
1514608241.766,6885961.5
1514608245.118,6885960.2
1514608248.470,6885960.2
1514608251.824,6885959.7
1514608255.174,6885960.9
1514608258.526,6885962.0
1514608261.878,6885961.7
1514608265.230,6885960.9
1514608268.583,6885960.9
1514608271.935,6885961.5
1514608275.287,6885960.9
1514608278.639,6885960.9
1514608281.991,6885959.4
1514608285.343,6885960.4
1514608288.695,6885962.0
1514608292.047,6885962.0
1514608295.399,6885962.0
1514608298.752,6885962.5
1514608302.104,6885961.3
1514608305.456,6885961.5
1514608308.808,6885961.5
1514608312.160,6885961.2
1514608315.512,6885963.0
1514608318.865,6885962.2
