timestamp,34401a_thermistor,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c,hp_error_c,hp_mcp_delta
1517209963.61,25.0036524741,21.394,-46.582,406,406.173,25.0020,0.0020,163.06,3.6084,0.0036524741,0.0016524741
1517209966.95,25.0036117756,21.394,-46.582,406,406.258,25.0029,0.0029,162.06,3.6093,0.0036117756,0.000711775599999
1517209970.32,25.0044917562,21.394,-46.582,406,406.055,25.0006,0.0006,164.05,3.6070,0.0044917562,0.0038917562
1517209973.66,25.0055405651,21.394,-46.582,406,405.916,24.9990,-0.0010,165.50,3.6054,0.0055405651,0.0065405651
1517209977.01,25.0058358332,21.415,-46.582,406,405.983,24.9998,-0.0002,164.83,3.5848,0.0058358332,0.0060358332
1517209980.38,25.0051912625,21.404,-46.582,406,406.052,25.0006,0.0006,164.12,3.5963,0.0051912625,0.0045912625
1517209983.71,25.0043629873,21.404,-46.582,406,406.133,25.0015,0.0015,163.22,3.5972,0.0043629873,0.0028629873
1517209987.07,25.0037876765,21.415,-46.582,406,405.927,24.9992,-0.0008,165.33,3.5841,0.0037876765,0.0045876765
1517209990.41,25.0036605218,21.415,-46.582,406,405.981,24.9998,-0.0002,164.80,3.5847,0.0036605218,0.0038605218
1517209993.78,25.0038833305,21.426,-46.582,406,406.022,25.0002,0.0002,164.43,3.5745,0.0038833305,0.0036833305
1517209997.13,25.0041183287,21.415,-46.582,406,405.803,24.9978,-0.0022,166.74,3.5827,0.0041183287,0.0063183287
1517210000.48,25.0047458474,21.415,-46.582,406,405.812,24.9979,-0.0021,166.76,3.5828,0.0047458474,0.0068458474
1517210003.84,25.0059085011,21.426,-46.582,406,405.918,24.9991,-0.0009,165.75,3.5733,0.0059085011,0.0068085011
1517210007.18,25.0067423617,21.404,-46.582,406,405.972,24.9997,-0.0003,165.23,3.5954,0.0067423617,0.0070423617
1517210010.54,25.0069493376,21.415,-46.582,406,405.860,24.9984,-0.0016,166.43,3.5834,0.0069493376,0.0085493376
1517210013.89,25.0074907052,21.415,-46.582,406,405.881,24.9986,-0.0014,166.29,3.5836,0.0074907052,0.0088907052
1517210017.24,25.0082579368,21.394,-46.582,406,405.858,24.9984,-0.0016,166.61,3.6048,0.0082579368,0.0098579368
1517210020.6,25.0084262902,21.426,-46.582,406,405.823,24.9980,-0.0020,167.16,3.5722,0.0084262902,0.0104262902
1517210023.95,25.008029328,21.415,-46.582,406,405.979,24.9998,-0.0002,165.61,3.5847,0.008029328,0.008229328
1517210027.3,25.0079582621,21.394,-46.582,406,405.665,24.9962,-0.0038,168.95,3.6026,0.0079582621,0.0117582621
1517210030.66,25.0082747261,21.372,-46.582,406,405.966,24.9996,-0.0004,165.96,3.6275,0.0082747261,0.0086747261
1517210034.0,25.0085359967,21.383,-46.582,406,406.137,25.0016,0.0016,164.17,3.6187,0.0085359967,0.0069359967
1517210037.37,25.0087896811,21.372,-46.582,406,406.050,25.0006,0.0006,165.00,3.6284,0.0087896811,0.0081896811
1517210040.71,25.0090350888,21.372,-46.582,406,406.050,25.0006,0.0006,164.98,3.6284,0.0090350888,0.0084350888
1517210044.06,25.0096121656,21.372,-46.582,406,406.162,25.0018,0.0018,163.76,3.6297,0.0096121656,0.0078121656
1517210047.43,25.0104606768,21.394,-46.582,406,406.049,25.0006,0.0006,164.86,3.6070,0.0104606768,0.0098606768
1517210050.76,25.0113961754,21.383,-46.582,406,406.426,25.0048,0.0048,160.60,3.6220,0.0113961754,0.0065961754
1517210054.13,25.0120036872,21.372,-46.582,406,406.631,25.0072,0.0072,158.17,3.6350,0.0120036872,0.0048036872
1517210057.47,25.0120119684,21.394,-46.582,406,406.688,25.0078,0.0078,157.19,3.6142,0.0120119684,0.0042119684
1517210060.82,25.0115058988,21.372,-46.582,406,406.700,25.0080,0.0080,156.65,3.6358,0.0115058988,0.0035058988
1517210064.17,25.0102032904,21.383,-46.582,406,406.406,25.0046,0.0046,159.34,3.6217,0.0102032904,0.0056032904
1517210067.52,25.0088280905,21.383,-46.582,406,406.210,25.0024,0.0024,161.18,3.6195,0.0088280905,0.0064280905
1517210070.88,25.0082107889,21.372,-46.582,406,406.186,25.0021,0.0021,161.31,3.6300,0.0082107889,0.0061107889
1517210074.23,25.0083333737,21.383,-46.582,406,406.144,25.0016,0.0016,161.63,3.6188,0.0083333737,0.0067333737
1517210077.59,25.0091848189,21.383,-46.582,406,405.974,24.9997,-0.0003,163.40,3.6168,0.0091848189,0.0094848189
1517210080.93,25.0106313496,21.383,-46.582,406,405.951,24.9994,-0.0006,163.66,3.6166,0.0106313496,0.0112313496
1517210084.29,25.0122946831,21.404,-46.582,406,406.017,25.0002,0.0002,162.98,3.5959,0.0122946831,0.0120946831
1517210087.64,25.0129834292,21.383,-46.582,406,405.949,24.9994,-0.0006,163.69,3.6166,0.0129834292,0.0135834292
1517210090.98,25.0119921854,21.383,-46.582,406,406.255,25.0029,0.0029,160.49,3.6200,0.0119921854,0.0090921854
1517210094.34,25.0101717786,21.383,-46.582,406,406.048,25.0005,0.0005,162.53,3.6177,0.0101717786,0.0096717786
1517210097.7,25.008253337,21.372,-46.582,406,405.884,24.9987,-0.0013,164.24,3.6265,0.008253337,0.009553337
1517210101.04,25.0067906559,21.404,-46.582,406,405.764,24.9973,-0.0027,165.58,3.5930,0.0067906559,0.0094906559
1517210104.4,25.006380849,21.415,-46.582,406,405.998,25.0000,-0.0000,163.24,3.5849,0.006380849,0.006380849
1517210107.74,25.0070155704,21.383,-46.582,406,405.729,24.9969,-0.0031,166.10,3.6140,0.0070155704,0.0101155704
1517210111.1,25.0080990143,21.404,-46.582,406,405.764,24.9973,-0.0027,165.89,3.5930,0.0080990143,0.0107990143
1517210114.47,25.0092821096,21.404,-46.582,406,405.854,24.9983,-0.0017,165.07,3.5940,0.0092821096,0.0109821096
1517210117.8,25.0101156555,21.415,-46.582,406,405.719,24.9968,-0.0032,166.59,3.5818,0.0101156555,0.0133156555
1517210121.17,25.0103932822,21.415,-46.582,406,405.856,24.9984,-0.0016,165.31,3.5833,0.0103932822,0.0119932822
1517210124.5,25.0100001898,21.394,-46.582,406,405.769,24.9974,-0.0026,166.32,3.6038,0.0100001898,0.0126001898
1517210127.86,25.0096554068,21.383,-46.582,406,405.868,24.9985,-0.0015,165.41,3.6156,0.0096554068,0.0111554068
1517210131.22,25.0094401217,21.404,-46.582,406,406.046,25.0005,0.0005,163.60,3.5962,0.0094401217,0.0089401217
1517210134.57,25.0093196,21.404,-46.582,406,405.848,24.9983,-0.0017,165.67,3.5940,0.0093196,0.0110196
1517210137.92,25.0092250691,21.372,-46.582,406,405.986,24.9998,-0.0002,164.32,3.6277,0.0092250691,0.0094250691
1517210141.26,25.0085139174,21.372,-46.582,406,405.885,24.9987,-0.0013,165.40,3.6265,0.0085139174,0.0098139174
1517210144.62,25.0076889498,21.372,-46.582,406,405.736,24.9970,-0.0030,167.06,3.6248,0.0076889498,0.0106889498
1517210147.96,25.0076930895,21.361,-46.582,406,405.735,24.9970,-0.0030,167.22,3.6356,0.0076930895,0.0106930895
1517210151.32,25.0084899981,21.383,-46.582,406,406.005,25.0001,0.0001,164.52,3.6172,0.0084899981,0.0083899981
1517210154.68,25.0096786374,21.383,-46.582,406,406.210,25.0024,0.0024,162.35,3.6195,0.0096786374,0.0072786374
1517210158.03,25.0106446907,21.383,-46.582,406,406.071,25.0008,0.0008,163.69,3.6179,0.0106446907,0.0098446907
1517210161.38,25.0115606457,21.351,-46.582,406,406.191,25.0022,0.0022,162.38,3.6515,0.0115606457,0.0093606457
1517210164.72,25.0121058228,21.372,-46.582,406,406.147,25.0017,0.0017,162.61,3.6295,0.0121058228,0.0104058228
1517210168.08,25.0120830492,21.351,-46.582,406,406.239,25.0027,0.0027,161.55,3.6520,0.0120830492,0.0093830492
1517210171.44,25.0120043773,21.361,-46.582,406,406.170,25.0019,0.0019,162.14,3.6405,0.0120043773,0.0101043773
1517210174.79,25.0117996476,21.372,-46.582,406,406.155,25.0018,0.0018,162.20,3.6296,0.0117996476,0.0099996476
1517210178.14,25.011426539,21.361,-46.582,406,406.304,25.0035,0.0035,160.52,3.6420,0.011426539,0.007926539
1517210181.51,25.0110354959,21.351,-46.582,406,406.263,25.0030,0.0030,160.78,3.6523,0.0110354959,0.0080354959
1517210184.85,25.010420424,21.351,-46.582,406,406.300,25.0034,0.0034,160.23,3.6527,0.010420424,0.007020424
1517210188.21,25.0098005415,21.372,-46.582,406,406.047,25.0005,0.0005,162.73,3.6284,0.0098005415,0.0093005415
