time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
144,30.0060,86.01089,43.6140,24.8473,76.72512,53.7839,29.961811,28.8473,1.950,196,0.0000,-0.0451,32.0000
145,30.0168,86.03020,43.6216,24.8258,76.68650,53.7687,29.972536,28.8258,1.950,196,0.0000,-0.0480,32.0000
146,30.0168,86.03020,43.6216,24.8151,76.66719,53.7687,29.979240,28.8151,1.950,196,0.0000,-0.0431,32.0000
147,30.0168,86.03020,43.6216,24.8044,76.64789,53.7687,29.988622,28.8044,1.950,196,0.0000,-0.0444,32.0000
148,30.0489,86.08811,43.6063,24.8044,76.64789,53.7687,30.000688,28.8044,1.950,196,0.0000,-0.0497,32.0000
149,30.0275,86.04951,43.6216,24.8151,76.66719,53.7916,30.010074,28.8151,1.950,196,0.0000,-0.0488,32.0000
150,30.0597,86.10742,43.6216,24.8258,76.68650,53.7763,30.020797,28.8258,1.950,196,0.0000,-0.0504,32.0000
151,30.0489,86.08811,43.6216,24.8151,76.66719,53.7687,30.030181,28.8151,1.950,196,0.0000,-0.0492,32.0000
152,30.0811,86.14604,43.5911,24.8151,76.66719,53.7839,30.039569,28.8151,1.950,196,0.0000,-0.0485,32.0000
153,30.0918,86.16533,43.6140,24.8151,76.66719,53.7839,30.048954,28.8151,1.950,196,0.0000,-0.0480,32.0000
154,30.1133,86.20395,43.5987,24.7937,76.62858,53.7687,30.061019,28.7937,1.950,196,0.0000,-0.0521,32.0000
155,30.1133,86.20395,43.5834,24.8258,76.68650,53.7763,30.073085,28.8258,1.950,196,0.0000,-0.0548,32.0000
156,30.1240,86.22325,43.5987,24.8151,76.66719,53.7763,30.082469,28.8151,1.950,196,0.0000,-0.0522,32.0000
157,30.1562,86.28117,43.5911,24.8366,76.70580,53.7687,30.098556,28.8366,1.950,196,0.0000,-0.0616,32.0000
158,30.1347,86.24256,43.5758,24.8258,76.68650,53.7763,30.107942,28.8258,1.950,196,0.0000,-0.0567,32.0000
159,30.1455,86.26186,43.5605,24.8258,76.68650,53.7916,30.120008,28.8258,1.950,196,0.0000,-0.0579,32.0000
160,30.1455,86.26186,43.5605,24.8044,76.64789,53.7839,30.128051,28.8044,1.950,196,0.0000,-0.0520,32.0000
161,30.1777,86.31977,43.5529,24.8258,76.68650,53.7916,30.138774,28.8258,1.950,196,0.0000,-0.0526,32.0000
162,30.1777,86.31977,43.5453,24.8258,76.68650,53.7763,30.146820,28.8258,1.950,196,0.0000,-0.0484,32.0000
