timestamp,ltz1000-3-to-4
1514703017.496,17522.9
1514703020.848,17522.9
1514703024.200,17522.9
1514703027.553,17522.6
1514703030.904,17522.7
1514703034.257,17523.0
1514703037.608,17522.8
1514703040.961,17523.1
1514703044.313,17523.1
1514703047.665,17523.1
1514703051.017,17523.0
1514703054.369,17522.3
1514703057.722,17521.4
1514703061.073,17521.3
1514703064.426,17521.4
1514703067.778,17520.8
1514703071.130,17521.2
1514703074.482,17520.9
1514703077.834,17520.8
1514703081.186,17520.8
1514703084.539,17520.8
1514703087.890,17520.8
1514703091.243,17520.7
1514703094.595,17520.9
1514703097.947,17520.9
1514703101.300,17520.8
1514703104.652,17520.9
1514703108.004,17520.7
1514703111.356,17520.6
1514703114.708,17521.5
1514703118.060,17521.8
1514703121.412,17521.5
1514703124.765,17521.5
1514703128.116,17521.5
1514703131.469,17521.4
1514703134.820,17521.1
1514703138.173,17521.8
1514703141.525,17521.4
1514703144.877,17521.3
1514703148.230,17520.8
1514703151.581,17520.9
1514703154.934,17520.8
1514703158.286,17521.0
1514703161.638,17521.2
1514703164.990,17521.2
1514703168.343,17520.9
1514703171.694,17520.8
1514703175.047,17521.2
1514703178.398,17521.2
1514703181.751,17521.2
1514703185.103,17521.0
1514703188.455,17520.9
1514703191.807,17521.0
1514703195.159,17521.0
1514703198.512,17521.5
1514703201.864,17521.5
1514703205.216,17521.5
1514703208.568,17521.3
1514703211.920,17521.2
1514703215.272,17521.1
1514703218.625,17521.2
1514703221.976,17521.0
1514703225.329,17521.0
1514703228.681,17520.7
1514703232.033,17520.5
1514703235.385,17520.7
1514703238.737,17520.9
1514703242.090,17520.9
1514703245.441,17520.9
1514703248.794,17520.7
1514703252.146,17520.7
1514703255.498,17520.7
1514703258.850,17520.7
1514703262.203,17520.9
1514703265.554,17520.8
1514703268.907,17520.9
1514703272.258,17521.0
1514703275.611,17520.8
1514703278.963,17520.6
1514703282.315,17521.0
1514703285.667,17521.2
1514703289.020,17521.0
1514703292.372,17520.8
1514703295.724,17521.2
1514703299.076,17521.4
1514703302.428,17521.2
1514703305.780,17520.9
1514703309.132,17521.3
1514703312.485,17521.4
1514703315.836,17521.4
1514703319.189,17521.2
1514703322.541,17521.1
1514703325.893,17521.2
1514703329.245,17521.2
1514703332.598,17520.9
1514703335.950,17520.9
1514703339.302,17520.9
1514703342.654,17520.9
1514703346.006,17521.0
1514703349.359,17520.8
1514703352.710,17521.0
1514703356.063,17521.2
1514703359.414,17521.0
1514703362.767,17521.4
1514703366.119,17521.9
1514703369.471,17521.0
1514703372.823,17521.1
1514703376.176,17521.4
1514703379.527,17521.2
1514703382.880,17521.2
1514703386.232,17521.3
1514703389.584,17521.3
1514703392.936,17521.3
1514703396.289,17521.4
1514703399.640,17520.7
1514703402.993,17520.7
1514703406.345,17520.7
1514703409.697,17520.7
1514703413.049,17520.8
1514703416.401,17521.0
1514703419.753,17521.1
1514703423.106,17520.8
1514703426.457,17520.9
1514703429.810,17520.9
1514703433.162,17521.2
1514703436.514,17520.8
1514703439.867,17520.8
1514703443.218,17521.2
1514703446.571,17521.0
1514703449.922,17521.2
1514703453.275,17521.1
1514703456.628,17521.1
1514703459.979,17521.2
1514703463.332,17520.2
1514703466.683,17519.9
1514703470.036,17519.5
1514703473.388,17519.7
1514703476.740,17519.8
1514703480.092,17518.4
1514703483.445,17519.3
1514703486.796,17519.3
1514703490.149,17520.7
1514703493.500,17519.8
1514703496.853,17519.8
1514703500.205,17519.4
1514703503.557,17519.0
1514703506.910,17518.6
1514703510.261,17519.2
1514703513.614,17518.3
1514703516.966,17519.7
1514703520.318,17518.7
1514703523.670,17518.9
1514703527.022,17518.8
1514703530.374,17519.6
1514703533.727,17518.0
1514703537.078,17518.4
1514703540.431,17517.4
1514703543.783,17517.5
1514703547.135,17518.5
1514703550.488,17519.2
1514703553.839,17520.2
1514703557.192,17520.2
1514703560.544,17518.6
1514703563.896,17517.4
1514703567.248,17518.0
1514703570.600,17518.2
1514703573.952,17520.1
1514703577.305,17518.1
1514703580.657,17517.8
