timestamp,run1-1433x
1516704390.986,99998.696
1516704394.338,99998.691
1516704397.690,99998.701
1516704401.042,99998.709
1516704404.395,99998.729
1516704407.747,99998.732
1516704411.099,99998.737
1516704414.451,99998.720
1516704417.803,99998.734
1516704421.155,99998.711
1516704424.507,99998.713
1516704427.860,99998.716
1516704431.211,99998.714
1516704434.563,99998.701
1516704437.916,99998.714
1516704441.267,99998.701
1516704444.619,99998.722
1516704447.971,99998.714
1516704451.324,99998.694
1516704454.676,99998.706
1516704458.028,99998.724
1516704461.380,99998.737
1516704464.732,99998.724
1516704468.084,99998.719
1516704471.436,99998.724
1516704474.788,99998.719
1516704478.141,99998.714
1516704481.493,99998.714
1516704484.845,99998.714
1516704488.197,99998.711
1516704491.549,99998.704
1516704494.901,99998.719
1516704498.253,99998.704
1516704501.605,99998.704
1516704504.958,99998.706
1516704508.309,99998.719
1516704511.662,99998.724
1516704515.014,99998.711
1516704518.365,99998.704
1516704521.718,99998.719
1516704525.070,99998.706
1516704528.422,99998.719
1516704531.774,99998.727
1516704535.127,99998.732
1516704538.479,99998.742
1516704541.830,99998.711
1516704545.182,99998.714
1516704548.535,99998.727
1516704551.887,99998.711
1516704555.239,99998.711
1516704558.591,99998.734
1516704561.943,99998.716
1516704565.295,99998.716
1516704568.647,99998.732
1516704572.000,99998.714
1516704575.352,99998.714
1516704578.704,99998.716
1516704582.055,99998.714
1516704585.408,99998.711
1516704588.760,99998.714
1516704592.112,99998.742
1516704595.464,99998.729
1516704598.817,99998.727
1516704602.168,99998.722
1516704605.520,99998.714
1516704608.872,99998.719
1516704612.225,99998.716
1516704615.577,99998.732
1516704618.929,99998.709
1516704622.281,99998.709
1516704625.632,99998.729
1516704628.985,99998.729
1516704632.337,99998.711
1516704635.689,99998.722
1516704639.041,99998.722
1516704642.394,99998.729
1516704645.746,99998.714
1516704649.097,99998.709
1516704652.449,99998.711
1516704655.802,99998.727
1516704659.154,99998.737
1516704662.506,99998.719
1516704665.858,99998.716
1516704669.211,99998.724
1516704672.562,99998.729
1516704675.914,99998.734
1516704679.267,99998.727
1516704682.619,99998.722
1516704685.971,99998.729
1516704689.322,99998.729
1516704692.675,99998.716
1516704696.026,99998.716
1516704699.379,99998.727
1516704702.731,99998.719
1516704706.083,99998.732
1516704709.436,99998.727
1516704712.788,99998.706
1516704716.139,99998.727
1516704719.491,99998.716
1516704722.844,99998.734
1516704726.195,99998.749
1516704729.547,99998.714
1516704732.900,99998.739
1516704736.252,99998.714
1516704739.604,99998.724
1516704742.957,99998.719
1516704746.309,99998.737
1516704749.660,99998.734
1516704753.012,99998.734
1516704756.364,99998.744
1516704759.717,99998.737
1516704763.069,99998.734
1516704766.421,99998.729
1516704769.773,99998.737
1516704773.125,99998.732
1516704776.477,99998.737
1516704779.829,99998.734
1516704783.181,99998.739
1516704786.534,99998.749
1516704789.886,99998.739
