set_c,oven_c,output,ambient_c
25.000,25.005,3.46,21.705
25.000,24.999,5.06,21.716
25.000,24.995,5.16,21.705
25.000,25.010,2.31,21.705
25.000,24.995,6.09,21.716
25.000,24.999,4.13,21.705
25.000,24.999,4.48,21.716
25.000,25.001,4.02,21.726
25.000,25.000,4.48,21.705
25.000,25.001,4.14,21.694
25.000,25.000,4.48,21.748
25.000,25.010,2.77,21.716
25.000,25.007,4.04,21.705
25.000,25.001,4.71,21.726
25.000,25.001,4.24,21.716
25.000,25.010,2.87,21.716
25.000,25.001,4.93,21.737
25.000,25.007,3.32,21.716
25.000,25.004,4.24,21.705
25.000,25.011,2.86,21.716
25.000,25.000,5.26,21.705
25.000,25.010,2.73,21.716
25.000,25.001,4.91,21.705
25.000,25.003,3.97,21.716
25.000,24.996,5.23,21.716
25.000,24.996,4.64,21.694
25.000,24.990,5.56,21.716
25.000,24.990,5.10,21.726
25.000,24.990,5.11,21.716
25.000,24.995,4.43,21.716
25.000,24.988,5.93,21.716
25.000,25.001,3.07,21.716
25.000,24.997,4.93,21.716
25.000,25.005,3.21,21.726
25.000,25.003,4.37,21.694
25.000,25.005,3.67,21.716
25.000,25.001,4.59,21.716
25.000,25.000,4.46,21.716
25.000,25.004,3.66,21.716
25.000,25.000,4.69,21.705
25.000,25.001,4.11,21.705
25.000,25.003,4.00,21.716
25.000,24.996,5.25,21.716
25.000,24.992,5.36,21.716
25.000,24.996,4.33,21.694
25.000,25.014,1.72,21.726
25.000,25.003,5.06,21.716
25.000,25.004,3.89,21.726
25.000,25.011,2.86,21.726
25.000,25.000,5.26,21.716
25.000,24.997,4.78,21.705
25.000,24.992,5.46,21.716
25.000,24.997,4.09,21.716
25.000,24.999,4.33,21.726
25.000,24.989,6.04,21.716
25.000,24.997,3.86,21.705
