volts,ppm,temp_c
0.99981841,0.04,26.03
0.99981841,0.04,26.023
0.99981841,0.04,26.027
0.99981841,0.04,26.017
0.99981841,0.04,26.023
0.99981841,0.04,26.027
0.99981841,0.04,26.028
0.99981841,0.04,26.024
0.99981839,0.02,26.026
0.99981839,0.02,26.023
0.99981839,0.02,26.017
0.99981839,0.02,26.027
0.99981839,0.02,26.027
0.99981839,0.02,26.028
0.99981839,0.02,26.024
0.99981839,0.02,26.019
0.99981839,0.02,26.024
0.99981839,0.02,26.02
0.99981839,0.02,26.02
0.99981839,0.02,26.027
0.99981839,0.02,26.024
0.99981846,0.09,26.031
0.99981846,0.09,26.02
0.99981846,0.09,26.023
0.99981846,0.09,26.024
0.99981846,0.09,26.02
0.99981846,0.09,26.027
0.99981846,0.09,26.022
0.99981846,0.09,26.03
0.99981846,0.09,26.027
0.99981846,0.09,26.028
0.99981846,0.09,26.016
0.99981846,0.09,26.017
0.99981846,0.09,26.027
0.99981846,0.09,26.022
0.99981836,-0.01,26.027
0.99981836,-0.01,26.024
0.99981836,-0.01,26.027
0.99981836,-0.01,26.022
0.99981836,-0.01,26.023
0.99981836,-0.01,26.023
0.99981836,-0.01,26.026
