resistance,ppm,temp_c
19970.155,1.39,24.984
19970.155,1.39,24.996
19970.155,1.39,25.008
19970.155,1.39,25.011
19970.155,1.39,24.995
19970.155,1.39,24.973
19970.155,1.39,25.007
19970.155,1.39,24.992
19970.155,1.39,25.053
19970.14,0.64,25.011
19970.14,0.64,25.015
19970.14,0.64,25.016
19970.14,0.64,25.003
19970.14,0.64,25.012
19970.14,0.64,25.003
19970.14,0.64,25.012
19970.14,0.64,25.008
19970.14,0.64,24.984
19970.14,0.64,25.016
19970.14,0.64,25.0
19970.14,0.64,25.001
19970.14,0.64,24.967
19970.14,0.64,24.985
19970.141,0.69,25.011
19970.141,0.69,24.997
19970.141,0.69,24.992
19970.141,0.69,25.007
19970.141,0.69,24.989
19970.141,0.69,24.969
19970.141,0.69,25.008
19970.141,0.69,24.986
19970.141,0.69,25.008
19970.141,0.69,24.99
19970.141,0.69,24.969
19970.141,0.69,24.992
19970.141,0.69,25.0
19970.131,0.19,24.995
19970.131,0.19,25.014
19970.131,0.19,25.008
19970.131,0.19,25.025
19970.131,0.19,25.003
19970.131,0.19,24.967
19970.131,0.19,25.007
19970.131,0.19,25.014
19970.131,0.19,25.005
19970.131,0.19,25.025
19970.131,0.19,25.0
19970.131,0.19,24.955
19970.131,0.19,25.01
19970.136,0.44,24.992
19970.136,0.44,25.042
19970.136,0.44,24.999
19970.136,0.44,25.0
19970.136,0.44,24.982
19970.136,0.44,24.997
19970.136,0.44,25.014
19970.136,0.44,25.005
19970.136,0.44,24.986
19970.136,0.44,24.996
19970.136,0.44,24.997
19970.136,0.44,24.984
19970.136,0.44,24.974
19970.136,0.44,25.012
19970.108,-0.96,25.004
19970.108,-0.96,24.97
19970.108,-0.96,24.993
19970.108,-0.96,24.997
19970.108,-0.96,24.995
19970.108,-0.96,24.997
19970.108,-0.96,25.019
19970.108,-0.96,25.023
19970.108,-0.96,25.023
19970.108,-0.96,25.0
19970.108,-0.96,25.046
19970.108,-0.96,24.997
19970.108,-0.96,25.014
19970.128,0.04,25.008
19970.128,0.04,25.019
19970.128,0.04,25.008
19970.128,0.04,25.029
19970.128,0.04,24.988
19970.128,0.04,24.995
19970.128,0.04,24.962
19970.128,0.04,24.986
19970.128,0.04,24.984
19970.128,0.04,24.997
19970.128,0.04,24.981
19970.128,0.04,24.984
19970.128,0.04,24.988
19970.128,0.04,25.001
19970.147,0.99,24.988
19970.147,0.99,24.977
19970.147,0.99,25.007
19970.147,0.99,25.005
19970.147,0.99,24.996
19970.147,0.99,24.989
19970.147,0.99,25.004
19970.147,0.99,25.005
19970.147,0.99,25.001
19970.147,0.99,25.0
19970.147,0.99,25.029
19970.147,0.99,25.021
19970.147,0.99,25.008
19970.136,0.44,24.992
19970.136,0.44,24.962
19970.136,0.44,24.997
19970.136,0.44,24.985
19970.136,0.44,24.984
19970.136,0.44,24.989
19970.136,0.44,24.97
19970.136,0.44,24.992
19970.136,0.44,25.014
19970.136,0.44,25.01
19970.136,0.44,25.042
19970.136,0.44,25.018
19970.136,0.44,25.023
19970.149,1.09,25.004
19970.149,1.09,25.0
19970.149,1.09,24.973
19970.149,1.09,25.005
19970.149,1.09,24.988
19970.149,1.09,25.031
19970.149,1.09,25.01
19970.149,1.09,25.022
19970.149,1.09,25.003
19970.149,1.09,24.992
19970.149,1.09,25.014
19970.149,1.09,24.997
19970.149,1.09,24.94
19970.149,1.09,24.975
19970.141,0.69,24.988
19970.141,0.69,25.015
19970.141,0.69,24.99
19970.141,0.69,24.996
19970.141,0.69,25.005
19970.141,0.69,25.01
19970.141,0.69,25.0
19970.141,0.69,25.012
19970.141,0.69,25.007
19970.141,0.69,24.982
19970.141,0.69,25.007
19970.141,0.69,25.004
19970.141,0.69,25.018
19970.152,1.24,24.999
19970.152,1.24,25.031
19970.152,1.24,25.0
19970.152,1.24,25.003
19970.152,1.24,25.001
19970.152,1.24,25.029
19970.152,1.24,25.001
19970.152,1.24,25.029
19970.152,1.24,24.997
19970.152,1.24,24.984
19970.152,1.24,24.95
19970.152,1.24,24.989
19970.152,1.24,24.988
19970.152,1.24,24.995
19970.109,-0.91,25.001
19970.109,-0.91,24.989
19970.109,-0.91,25.04
19970.109,-0.91,24.996
19970.109,-0.91,24.978
19970.109,-0.91,25.007
19970.109,-0.91,25.0
19970.109,-0.91,24.99
19970.109,-0.91,24.965
19970.109,-0.91,24.997
19970.109,-0.91,25.003
19970.109,-0.91,25.004
19970.109,-0.91,24.995
19970.118,-0.46,24.995
19970.118,-0.46,24.969
19970.118,-0.46,24.975
19970.118,-0.46,25.022
19970.118,-0.46,24.996
19970.118,-0.46,25.022
19970.118,-0.46,25.012
19970.118,-0.46,24.985
19970.118,-0.46,25.011
19970.118,-0.46,25.025
19970.118,-0.46,25.014
19970.118,-0.46,25.026
19970.118,-0.46,25.01
