timestamp,ambient_c,ambient_rh
1521232602.78,21.620,66.323
1521232604.39,21.623,66.323
1521232606.00,21.622,66.325
1521232607.61,21.620,66.329
1521232609.22,21.623,66.329
1521232610.83,21.618,66.336
1521232612.44,21.623,66.342
1521232614.05,21.630,66.345
1521232615.66,21.623,66.339
1521232617.27,21.628,66.337
1521232618.88,21.631,66.349
1521232620.50,21.643,66.357
1521232622.11,21.630,66.349
1521232623.72,21.631,66.352
1521232625.33,21.634,66.360
1521232626.94,21.631,66.355
1521232628.55,21.638,66.364
1521232630.16,21.635,66.366
1521232631.77,21.634,66.362
1521232633.38,21.632,66.368
1521232634.99,21.640,66.373
1521232636.60,21.643,66.378
1521232638.21,21.643,66.379
1521232639.82,21.649,66.384
1521232641.43,21.642,66.388
1521232643.04,21.643,66.387
1521232644.65,21.651,66.390
1521232646.27,21.647,66.396
1521232647.88,21.654,66.398
1521232649.49,21.653,66.400
1521232651.10,21.650,66.408
1521232652.71,21.655,66.400
1521232654.32,21.662,66.406
1521232655.93,21.653,66.408
1521232657.54,21.653,66.412
1521232659.15,21.665,66.416
1521232660.76,21.662,66.416
1521232662.37,21.670,66.420
1521232663.98,21.666,66.419
1521232665.59,21.662,66.420
1521232667.20,21.674,66.422
1521232668.81,21.674,66.424
1521232670.42,21.669,66.421
1521232672.04,21.673,66.421
1521232673.65,21.670,66.433
1521232675.26,21.675,66.423
1521232676.87,21.674,66.433
1521232678.48,21.683,66.432
1521232680.09,21.674,66.433
1521232681.70,21.681,66.435
1521232683.31,21.686,66.439
1521232684.92,21.678,66.433
1521232686.53,21.679,66.431
1521232688.14,21.685,66.436
1521232689.75,21.693,66.436
1521232691.36,21.685,66.450
1521232692.97,21.686,66.450
1521232694.58,21.689,66.444
1521232696.19,21.685,66.447
1521232697.81,21.694,66.445
1521232699.42,21.691,66.446
1521232701.03,21.691,66.449
1521232702.64,21.695,66.453
1521232704.25,21.697,66.448
1521232705.86,21.702,66.450
1521232707.47,21.694,66.453
1521232709.08,21.697,66.453
1521232710.69,21.702,66.452
1521232712.30,21.702,66.451
1521232713.91,21.703,66.454
1521232715.52,21.708,66.451
1521232717.13,21.703,66.450
1521232718.74,21.702,66.460
1521232720.35,21.710,66.457
1521232721.96,21.712,66.450
1521232723.58,21.713,66.456
1521232725.19,21.710,66.461
1521232726.80,21.705,66.458
1521232728.41,21.709,66.459
1521232730.02,21.705,66.460
1521232731.63,21.712,66.454
1521232733.24,21.713,66.464
1521232734.85,21.716,66.466
1521232736.46,21.716,66.456
1521232738.07,21.721,66.464
1521232739.68,21.722,66.462
1521232741.29,21.720,66.447
1521232742.90,21.716,66.447
1521232744.51,21.716,66.448
1521232746.12,21.716,66.451
1521232747.73,21.717,66.427
1521232749.34,21.721,66.441
1521232750.96,21.716,66.439
1521232752.57,21.720,66.436
1521232754.18,21.724,66.427
1521232755.79,21.725,66.426
1521232757.40,21.722,66.422
1521232759.01,21.729,66.412
1521232760.62,21.724,66.407
1521232762.23,21.725,66.401
1521232763.84,21.726,66.410
1521232765.45,21.730,66.401
1521232767.06,21.732,66.389
1521232768.67,21.729,66.389
1521232770.28,21.728,66.381
1521232771.89,21.729,66.377
1521232773.50,21.730,66.368
1521232775.11,21.728,66.361
1521232776.73,21.728,66.353
1521232778.34,21.737,66.343
1521232779.95,21.730,66.344
1521232781.56,21.733,66.330
1521232783.17,21.726,66.316
1521232784.78,21.734,66.316
1521232786.39,21.734,66.306
1521232788.00,21.732,66.296
1521232789.61,21.730,66.292
1521232791.22,21.728,66.281
1521232792.83,21.737,66.278
1521232794.44,21.732,66.263
1521232796.05,21.732,66.257
1521232797.66,21.737,66.248
1521232799.27,21.734,66.240
1521232800.88,21.732,66.231
1521232802.50,21.733,66.227
1521232804.11,21.732,66.218
1521232805.72,21.733,66.208
1521232807.33,21.733,66.201
1521232808.94,21.733,66.193
1521232810.55,21.732,66.186
1521232812.16,21.730,66.180
1521232813.77,21.730,66.171
1521232815.38,21.734,66.165
1521232816.99,21.729,66.165
1521232818.60,21.734,66.155
1521232820.21,21.738,66.148
1521232821.82,21.732,66.140
1521232823.43,21.730,66.139
1521232825.04,21.736,66.131
1521232826.65,21.726,66.123
1521232828.27,21.726,66.121
1521232829.88,21.732,66.107
1521232831.49,21.722,66.104
1521232833.10,21.730,66.096
1521232834.71,21.732,66.094
1521232836.32,21.724,66.083
1521232837.93,21.728,66.079
1521232839.54,21.734,66.071
1521232841.15,21.732,66.059
1521232842.76,21.725,66.051
1521232844.37,21.725,66.035
1521232845.98,21.722,66.034
1521232847.59,21.725,66.018
1521232849.20,21.721,66.013
1521232850.81,21.725,65.997
1521232852.42,21.726,65.989
1521232854.04,21.725,65.971
1521232855.65,21.722,65.953
1521232857.26,21.726,65.942
1521232858.87,21.724,65.927
1521232860.48,21.717,65.896
1521232862.09,21.716,65.889
1521232863.70,21.718,65.864
1521232865.31,21.718,65.842
1521232866.92,21.721,65.823
1521232868.53,21.717,65.796
1521232870.14,21.718,65.772
1521232871.75,21.713,65.753
1521232873.36,21.720,65.725
1521232874.97,21.718,65.693
1521232876.58,21.714,65.665
1521232878.19,21.717,65.635
1521232879.81,21.717,65.609
1521232881.42,21.709,65.573
1521232883.03,21.714,65.546
1521232884.64,21.709,65.512
1521232886.25,21.706,65.485
1521232887.86,21.705,65.458
1521232889.47,21.708,65.437
1521232891.08,21.706,65.407
1521232892.69,21.703,65.390
1521232894.30,21.705,65.368
1521232895.91,21.699,65.340
1521232897.52,21.695,65.318
1521232899.13,21.694,65.297
1521232900.74,21.698,65.276
1521232902.35,21.703,65.258
1521232903.96,21.694,65.244
1521232905.58,21.691,65.231
1521232907.19,21.694,65.228
1521232908.80,21.687,65.219
1521232910.41,21.689,65.206
1521232912.02,21.687,65.203
1521232913.63,21.685,65.204
1521232915.24,21.693,65.202
1521232916.85,21.681,65.204
1521232918.46,21.685,65.192
1521232920.07,21.683,65.195
1521232921.68,21.682,65.188
1521232923.29,21.683,65.189
1521232924.90,21.677,65.195
1521232926.51,21.679,65.198
1521232928.12,21.671,65.198
1521232929.73,21.675,65.198
1521232931.35,21.674,65.199
1521232932.96,21.667,65.216
1521232934.57,21.661,65.215
1521232936.18,21.669,65.222
1521232937.79,21.670,65.226
1521232939.40,21.661,65.229
1521232941.01,21.665,65.235
1521232942.62,21.658,65.244
1521232944.23,21.651,65.254
1521232945.84,21.655,65.261
1521232947.45,21.658,65.276
1521232949.06,21.658,65.281
1521232950.67,21.654,65.288
1521232952.28,21.654,65.294
1521232953.89,21.647,65.305
1521232955.50,21.643,65.309
1521232957.11,21.647,65.321
1521232958.73,21.647,65.330
1521232960.34,21.638,65.335
1521232961.95,21.632,65.348
1521232963.56,21.639,65.354
1521232965.17,21.631,65.359
1521232966.78,21.631,65.365
1521232968.39,21.631,65.378
1521232970.00,21.628,65.387
1521232971.61,21.627,65.399
1521232973.22,21.628,65.405
1521232974.83,21.628,65.417
1521232976.44,21.624,65.418
1521232978.05,21.623,65.433
1521232979.66,21.612,65.438
1521232981.27,21.619,65.441
1521232982.88,21.620,65.448
1521232984.50,21.615,65.451
1521232986.11,21.615,65.457
1521232987.72,21.610,65.449
1521232989.33,21.614,65.460
1521232990.94,21.610,65.461
1521232992.55,21.606,65.460
1521232994.16,21.608,65.468
1521232995.77,21.607,65.468
1521232997.38,21.606,65.465
1521232998.99,21.598,65.465
1521233000.60,21.591,65.461
1521233002.21,21.590,65.463
1521233003.82,21.594,65.465
1521233005.43,21.591,65.470
1521233007.04,21.591,65.470
1521233008.65,21.588,65.464
