si7021_c,si7021_h,set,input,output
27.228,49.145,400,603.184,0.00
27.239,49.176,400,603.123,0.00
27.228,49.168,400,603.172,0.00
27.239,49.168,400,603.191,0.00
27.239,49.176,400,603.129,0.00
27.239,49.168,400,603.002,0.00
27.228,49.183,400,602.877,0.00
27.218,49.168,400,602.416,0.00
27.218,49.176,400,602.668,0.00
27.228,49.168,400,602.260,0.00
27.228,49.176,400,602.414,0.00
27.207,49.183,400,602.227,0.00
27.228,49.199,400,602.146,0.00
27.218,49.176,400,601.836,0.00
27.228,49.183,400,601.312,0.00
27.228,49.191,400,601.371,0.00
27.218,49.191,400,601.777,0.00
27.228,49.199,400,601.711,0.00
27.228,49.176,400,601.371,0.00
27.228,49.191,400,601.609,0.00
27.196,49.199,400,601.223,0.00
27.239,49.199,400,601.084,0.00
27.218,49.214,400,601.049,0.00
27.218,49.199,400,600.934,0.00
27.218,49.206,400,601.045,0.00
27.196,49.214,400,600.564,0.00
27.228,49.199,400,600.662,0.00
27.228,49.214,400,600.422,0.00
27.207,49.214,400,600.334,0.00
27.218,49.222,400,600.363,0.00
27.207,49.229,400,599.826,0.00
27.228,49.222,400,600.187,0.00
27.207,49.214,400,600.021,0.00
27.207,49.214,400,599.418,0.00
27.218,49.229,400,599.334,0.00
27.207,49.237,400,599.754,0.00
27.218,49.214,400,599.627,0.00
27.196,49.237,400,599.146,0.00
27.196,49.237,400,598.922,0.00
27.196,49.229,400,599.314,0.00
27.218,49.237,400,599.437,0.00
27.218,49.229,400,599.266,0.00
27.196,49.237,400,598.252,0.00
27.196,49.244,400,598.463,0.00
27.196,49.260,400,598.926,0.00
27.196,49.237,400,598.385,0.00
27.196,49.252,400,598.852,0.00
27.196,49.244,400,598.691,0.00
27.196,49.244,400,598.430,0.00
