volts,ppm,temp_c,ambient_c
1517900245.49,69997.025,-0.39,24.999,21.233
1517900246.49,69997.025,-0.39,24.999,21.233
1517900247.49,69997.053,0.01,24.997,21.254
1517900248.49,69997.053,0.01,25.0,21.244
1517900249.49,69997.053,0.01,24.999,21.233
1517900250.49,69997.043,-0.14,25.001,21.233
1517900251.49,69997.043,-0.14,25.001,21.233
1517900252.5,69997.043,-0.14,25.003,21.244
1517900253.49,69997.043,-0.14,25.0,21.254
1517900254.49,69997.058,0.08,25.0,21.244
1517900255.49,69997.058,0.08,24.999,21.233
1517900256.49,69997.058,0.08,25.0,21.233
1517900257.5,69997.079,0.38,24.999,21.254
1517900258.5,69997.079,0.38,25.001,21.233
1517900259.5,69997.079,0.38,25.001,21.244
1517900260.5,69997.041,-0.17,25.004,21.254
1517900261.5,69997.041,-0.17,25.001,21.244
1517900262.49,69997.041,-0.17,25.003,21.233
1517900263.49,69997.041,-0.17,25.001,21.244
1517900264.5,69997.063,0.15,25.002,21.244
1517900265.5,69997.063,0.15,25.0,21.254
1517900266.5,69997.063,0.15,25.002,21.265
1517900267.5,69997.03,-0.32,25.0,21.254
1517900268.5,69997.03,-0.32,25.003,21.254
1517900269.5,69997.03,-0.32,25.002,21.254
1517900270.5,69997.03,-0.32,25.003,21.265
1517900271.5,69997.043,-0.14,25.001,21.265
1517900272.5,69997.043,-0.14,25.004,21.265
1517900273.5,69997.043,-0.14,25.002,21.254
1517900274.5,69997.051,-0.02,25.005,21.254
1517900275.5,69997.051,-0.02,25.002,21.265
1517900276.5,69997.051,-0.02,25.006,21.254
1517900277.5,69997.101,0.69,25.002,21.265
1517900278.5,69997.101,0.69,25.004,21.265
1517900279.5,69997.101,0.69,24.999,21.254
1517900280.5,69997.101,0.69,25.0,21.254
1517900281.5,69997.053,0.01,24.998,21.233
1517900282.5,69997.053,0.01,25.002,21.265
1517900283.5,69997.053,0.01,25.001,21.244
1517900284.5,69997.076,0.33,25.005,21.254
1517900285.5,69997.076,0.33,25.003,21.265
1517900286.5,69997.076,0.33,25.005,21.233
1517900287.5,69997.043,-0.14,25.002,21.254
1517900288.5,69997.043,-0.14,25.003,21.233
1517900289.5,69997.043,-0.14,24.999,21.233
1517900290.5,69997.043,-0.14,25.001,21.244
1517900291.5,69997.005,-0.68,25.0,21.244
1517900292.5,69997.005,-0.68,25.001,21.233
1517900293.5,69997.005,-0.68,25.001,21.254
1517900294.5,69997.076,0.33,25.004,21.254
1517900295.5,69997.076,0.33,25.001,21.244
1517900296.5,69997.076,0.33,25.004,21.244
1517900297.5,69997.084,0.45,25.001,21.233
1517900298.5,69997.084,0.45,25.002,21.244
1517900299.5,69997.084,0.45,25.0,21.233
1517900300.51,69997.084,0.45,25.003,21.254
1517900301.5,69997.079,0.38,24.999,21.233
1517900302.5,69997.079,0.38,25.002,21.244
1517900303.5,69997.079,0.38,24.999,21.244
1517900304.5,69997.084,0.45,25.001,21.254
